scene_id,environment,tier
scene001,outdoor,hard
scene002,outdoor,hard
scene003,outdoor,hard
scene004,outdoor,easy
scene005,outdoor,hard
scene006,indoor,medium
scene007,indoor,medium
scene008,indoor,easy
scene009,indoor,medium
scene010,indoor,hard
scene011,indoor,easy
scene012,indoor,easy
scene013,indoor,easy
scene014,indoor,medium
scene015,indoor,easy
scene016,indoor,hard
scene017,indoor,medium
scene018,indoor,hard
scene019,indoor,hard
scene020,indoor,hard
scene021,indoor,medium
scene022,indoor,easy
scene023,indoor,easy
scene024,indoor,easy
scene025,indoor,medium
scene026,outdoor,easy
scene027,outdoor,hard
scene028,outdoor,medium
scene029,outdoor,easy
scene030,outdoor,easy
scene031,indoor,easy
scene032,indoor,easy
scene033,indoor,hard
scene034,indoor,easy
scene035,indoor,easy
scene036,indoor,medium
scene037,indoor,easy
scene038,indoor,easy
scene039,indoor,hard
scene040,indoor,hard
scene041,outdoor,hard
scene042,outdoor,hard
scene043,outdoor,hard
scene044,outdoor,hard
scene045,outdoor,hard
scene046,outdoor,hard
scene047,outdoor,medium
scene048,outdoor,medium
scene049,outdoor,hard
scene050,outdoor,medium
scene051,outdoor,easy
scene052,outdoor,medium
scene053,outdoor,easy
scene054,outdoor,easy
scene055,outdoor,easy
scene056,indoor,medium
scene057,indoor,easy
scene058,indoor,medium
scene059,indoor,easy
scene060,indoor,easy
scene061,indoor,hard
scene062,indoor,hard
scene063,indoor,hard
scene064,indoor,medium
scene065,indoor,medium
scene066,indoor,easy
scene067,indoor,hard
scene068,indoor,easy
scene069,indoor,medium
scene070,indoor,medium
scene071,indoor,easy
scene072,indoor,medium
scene073,indoor,easy
scene074,indoor,medium
scene075,indoor,easy
scene076,indoor,medium
scene077,indoor,medium
scene078,indoor,medium
scene079,indoor,medium
scene080,indoor,hard
scene081,outdoor,hard
scene082,outdoor,hard
scene083,outdoor,hard
scene084,outdoor,medium
scene085,outdoor,hard
scene086,indoor,medium
scene087,indoor,hard
scene088,indoor,hard
scene089,indoor,medium
scene090,indoor,medium
scene091,outdoor,medium
scene092,outdoor,easy
scene093,outdoor,easy
scene094,outdoor,easy
scene095,outdoor,hard
scene096,outdoor,hard
scene097,outdoor,medium
scene098,outdoor,hard
scene099,outdoor,medium
scene100,outdoor,medium
