model,view,AbsRel,RMSE,SILog,delta1
ZipDepth,Clutter,,,,
ZipDepth,Interaction,,,,
ZipDepth,Clean,,,,
HyDen,Clutter,,,,
HyDen,Interaction,,,,
HyDen,Clean,,,,
FE2E,Clutter,,,,
FE2E,Interaction,,,,
FE2E,Clean,,,,
DA3 Metric-L,Clutter,,,,
DA3 Metric-L,Interaction,,,,
DA3 Metric-L,Clean,,,,
UniDepth V2,Clutter,,,,
UniDepth V2,Interaction,,,,
UniDepth V2,Clean,,,,
MoGe-2 ViT-L,Clutter,,,,
MoGe-2 ViT-L,Interaction,,,,
MoGe-2 ViT-L,Clean,,,,
Lotus-2,Clutter,,,,
Lotus-2,Interaction,,,,
Lotus-2,Clean,,,,
Depth Pro,Clutter,,,,
Depth Pro,Interaction,,,,
Depth Pro,Clean,,,,
Metric3D V2,Clutter,,,,
Metric3D V2,Interaction,,,,
Metric3D V2,Clean,,,,
DA-V2 Large,Clutter,,,,
DA-V2 Large,Interaction,,,,
DA-V2 Large,Clean,,,,
