model,view,AbsRel,RMSE,SILog,delta1,TGM,TGSE
DA3 (video),Clutter,,,,,,
DA3 (video),Interaction,,,,,,
DA3 (video),Clean,,,,,,
Video-DA,Clutter,,,,,,
Video-DA,Interaction,,,,,,
Video-DA,Clean,,,,,,
ViGeo,Clutter,,,,,,
ViGeo,Interaction,,,,,,
ViGeo,Clean,,,,,,
VGGT,Clutter,,,,,,
VGGT,Interaction,,,,,,
VGGT,Clean,,,,,,
MonST3R,Clutter,,,,,,
MonST3R,Interaction,,,,,,
MonST3R,Clean,,,,,,
GemDepth,Clutter,,,,,,
GemDepth,Interaction,,,,,,
GemDepth,Clean,,,,,,
DepthCrafter,Clutter,,,,,,
DepthCrafter,Interaction,,,,,,
DepthCrafter,Clean,,,,,,
DVD v1.1,Clutter,,,,,,
DVD v1.1,Interaction,,,,,,
DVD v1.1,Clean,,,,,,
ChronoDepth,Clutter,,,,,,
ChronoDepth,Interaction,,,,,,
ChronoDepth,Clean,,,,,,
RollingDepth,Clutter,,,,,,
RollingDepth,Interaction,,,,,,
RollingDepth,Clean,,,,,,
