model,view,HOTA,MOTA,IDSW
SAM 2 Long,Clutter,,,
SAM 2 Long,Interaction,,,
SAM 2 Long,Clean,,,
SAM 2 Long,Ego,,,
DAM4SAM,Clutter,,,
DAM4SAM,Interaction,,,
DAM4SAM,Clean,,,
DAM4SAM,Ego,,,
EdgeTAM,Clutter,,,
EdgeTAM,Interaction,,,
EdgeTAM,Clean,,,
EdgeTAM,Ego,,,
SAM 2++,Clutter,,,
SAM 2++,Interaction,,,
SAM 2++,Clean,,,
SAM 2++,Ego,,,
SAM 2,Clutter,,,
SAM 2,Interaction,,,
SAM 2,Clean,,,
SAM 2,Ego,,,
Cutie,Clutter,,,
Cutie,Interaction,,,
Cutie,Clean,,,
Cutie,Ego,,,
SAM 3.1 (bbox),Clutter,,,
SAM 3.1 (bbox),Interaction,,,
SAM 3.1 (bbox),Clean,,,
SAM 3.1 (bbox),Ego,,,
MiTS,Clutter,,,
MiTS,Interaction,,,
MiTS,Clean,,,
MiTS,Ego,,,
XMem,Clutter,,,
XMem,Interaction,,,
XMem,Clean,,,
XMem,Ego,,,
SAM 3.1 (text),Clutter,,,
SAM 3.1 (text),Interaction,,,
SAM 3.1 (text),Clean,,,
SAM 3.1 (text),Ego,,,
GSAM2 (text),Clutter,,,
GSAM2 (text),Interaction,,,
GSAM2 (text),Clean,,,
GSAM2 (text),Ego,,,
