model,view,Acc@0.5,GIoU,Center
Cosmos Reason2 8B,Clutter,,,
Cosmos Reason2 8B,Interaction,,,
Cosmos Reason2 8B,Clean,,,
Cosmos Reason2 8B,Ego,,,
Cosmos Reason2 2B,Clutter,,,
Cosmos Reason2 2B,Interaction,,,
Cosmos Reason2 2B,Clean,,,
Cosmos Reason2 2B,Ego,,,
Qwen3-VL 8B,Clutter,,,
Qwen3-VL 8B,Interaction,,,
Qwen3-VL 8B,Clean,,,
Qwen3-VL 8B,Ego,,,
Qwen3-VL 2B,Clutter,,,
Qwen3-VL 2B,Interaction,,,
Qwen3-VL 2B,Clean,,,
Qwen3-VL 2B,Ego,,,
InternVL 3.5 14B,Clutter,,,
InternVL 3.5 14B,Interaction,,,
InternVL 3.5 14B,Clean,,,
InternVL 3.5 14B,Ego,,,
InternVL 3.5 1B,Clutter,,,
InternVL 3.5 1B,Interaction,,,
InternVL 3.5 1B,Clean,,,
InternVL 3.5 1B,Ego,,,
PaliGemma 2 10B,Clutter,,,
PaliGemma 2 10B,Interaction,,,
PaliGemma 2 10B,Clean,,,
PaliGemma 2 10B,Ego,,,
PaliGemma 2 3B,Clutter,,,
PaliGemma 2 3B,Interaction,,,
PaliGemma 2 3B,Clean,,,
PaliGemma 2 3B,Ego,,,
DeepSeek-VL2 4.5B,Clutter,,,
DeepSeek-VL2 4.5B,Interaction,,,
DeepSeek-VL2 4.5B,Clean,,,
DeepSeek-VL2 4.5B,Ego,,,
DeepSeek-VL2 1.0B,Clutter,,,
DeepSeek-VL2 1.0B,Interaction,,,
DeepSeek-VL2 1.0B,Clean,,,
DeepSeek-VL2 1.0B,Ego,,,
Florence 2 0.77B,Clutter,,,
Florence 2 0.77B,Interaction,,,
Florence 2 0.77B,Clean,,,
Florence 2 0.77B,Ego,,,
Florence 2 0.23B,Clutter,,,
Florence 2 0.23B,Interaction,,,
Florence 2 0.23B,Clean,,,
Florence 2 0.23B,Ego,,,
