,iter_mean,iter_max,obj_mean,obj_std,obj_consist,occ_mean,occ_p90,occ_heavy,depth_invalid,depth_invalid_mask,depth_std,depth_std_mask,specular,dark,area_cv,area_drop,vis_instability,trans_mean,trans_p90,rot_mean,rot_p90,jerk,fisheye_dark,fisheye_bright,fisheye_sharpness,fisheye_corr,fisheye_texture
iter_mean,,0.7377237272224104,0.05344083839271474,0.06678769298051712,0.07018472449746804,0.0,0.04117695853044134,0.0,0.06260431845829362,0.027596739468926712,0.013175089945569818,0.023646639250663126,0.0,0.00787594022993554,0.06208254311337913,0.08751601853421098,0.08221976068307701,0.09936789408353142,0.06639932056558906,0.0030915256107373335,0.03093273894258508,0.019502618210524236,0.022176674238409966,0.0074908169905296695,0.027604643303581478,0.0682969441337764,0.015914770781815468
iter_max,0.7377237272224104,,0.039928465839048854,0.005240050863504431,0.030508232270410662,0.05673686563030178,0.05259429119241821,0.019464782373119993,0.12884101379446933,0.0,0.0,0.024062813257409,0.01603529116757385,0.027457807823326963,0.0,0.030711819623844505,0.04594071462528526,0.007905224289644242,0.0,0.032814776718895766,0.0,0.0,0.046012898617772136,0.1147634609356234,0.11846606591728848,0.2690574767452649,0.09228584604142642
obj_mean,0.05344083839271474,0.039928465839048854,,1.4711195945219533,1.4834615348967668,0.03460953481493512,0.039378938441183564,0.03367849327655792,0.02473413860667195,0.009433545910227492,0.0,0.06719642512446078,0.025803544871917605,0.0,0.014333178526344525,0.503420559060189,0.8739724605689823,0.010741221879269514,0.0,0.06725804157542892,0.06195085161857339,0.009106638966463576,0.04877352872151697,0.058940610912102676,0.0,0.0,0.07581586123813566
obj_std,0.06678769298051712,0.005240050863504431,1.4711195945219533,,1.4958723855767198,0.00497471229268287,0.005794878584495455,0.026299503758403064,0.015548168744926372,0.0,0.0,0.05936381654111744,0.037857799359622524,0.0,0.009916562731817402,0.552125598994607,0.9276725600014042,0.0,0.0,0.07371498062876891,0.046435887995387226,0.040207660366674114,0.0,0.013635874824929228,0.0,0.0,0.07623992419999825
obj_consist,0.07018472449746804,0.030508232270410662,1.4834615348967668,1.4958723855767198,,0.04569290180070995,0.0032399758703427484,0.05052864154330772,0.0,0.0,0.0,0.10478982704863138,0.0272889571005408,0.0,0.009015096062395367,0.5763118901872135,0.8862452158756842,0.0034915406712769936,0.0,0.07845433218308862,0.0628112284540201,0.00539365348032228,0.06224872484489019,0.02777291156941697,0.003929090675898417,0.007780674006088839,0.05247925332849723
occ_mean,0.0,0.05673686563030178,0.03460953481493512,0.00497471229268287,0.04569290180070995,,1.9661304155190118,0.9268648823179435,0.010630259346401383,0.0700559699325034,0.0,0.25975007368685743,0.019978979217447623,0.048330492207601106,0.0,0.02799704056018104,0.04396158945639317,0.11484618374194389,0.04094294120141373,0.12452836248271448,0.2262942372470056,0.10427082140497768,0.043042759660979035,0.03417994077336095,0.021026423415742235,0.0,0.047678714603468286
occ_p90,0.04117695853044134,0.05259429119241821,0.039378938441183564,0.005794878584495455,0.0032399758703427484,1.9661304155190118,,0.9239750695598581,0.0,0.04086498757668178,0.09024452750751255,0.23285343388964397,0.0,0.06445373957055667,0.0039002913959997887,0.0,0.03995436817230025,0.04616214312757716,0.08763929859793729,0.1214446301407548,0.1837067165490438,0.043817091741801484,0.0,0.1200627504296039,0.10146785546970194,0.0,0.0
occ_heavy,0.0,0.019464782373119993,0.03367849327655792,0.026299503758403064,0.05052864154330772,0.9268648823179435,0.9239750695598581,,0.0,0.0,0.021008222007379507,0.13374038335431315,0.03845408360134961,0.09280161664952447,0.0,0.026371659412390613,0.023957454143311185,0.04859835557272296,0.0,0.08808308602887305,0.08941623449563108,0.04056380349112665,0.0477565090689227,0.06535772084476399,0.08523537692031047,0.0492211373290683,0.021002504617305906
depth_invalid,0.06260431845829362,0.12884101379446933,0.02473413860667195,0.015548168744926372,0.0,0.010630259346401383,0.0,0.0,,0.0,0.4201367726162253,0.21540191512594564,0.29589096594876385,0.2597022090862118,0.08494402537515833,0.04284367629592123,0.0,0.011682127206217752,0.04021896645932066,0.17448529870626484,0.12885708628614312,0.08203654931550575,0.2968100798571607,0.2453844909480951,0.4013724119215687,0.2175229657881208,0.37935343192754445
depth_invalid_mask,0.027596739468926712,0.0,0.009433545910227492,0.0,0.0,0.0700559699325034,0.04086498757668178,0.0,0.0,,0.06806583109261499,0.08206075903682963,0.06917116692664593,0.0,0.0,0.0,0.0,0.026174861711715236,0.0,0.023269637349370598,0.0,0.052940056687504455,0.04999074963064798,0.06764671094162011,0.05935134345020199,0.07098354171073873,0.15209937770295556
depth_std,0.013175089945569818,0.0,0.0,0.0,0.0,0.0,0.09024452750751255,0.021008222007379507,0.4201367726162253,0.06806583109261499,,0.23674014189982762,0.26658855160127737,0.12108711364106362,0.13426488148456062,0.0,0.0,0.001672530064757094,0.0012040923261462666,0.0786449302439165,0.05553371370742699,0.0,0.18884498312330966,0.1727037595397034,0.24179852940612934,0.10761547486715184,0.3323547343188875
