scene_id,phase,tier_uniform_v1,score_uniform_v1,weight_flip_rate,confidence
scene1.library.fountain,0,hard,0.620214490584861,0.136,medium
scene1.library.fountain,1,hard,0.5728270357899987,0.342,medium
scene1.library.fountain,2,hard,0.5562414266117969,0.43,medium
scene10.ecsn.4f.sofa,0,hard,0.5544955730140915,0.443,medium
scene10.ecsn.4f.sofa,1,medium,0.5120962713555306,0.479,medium
scene10.ecsn.4f.sofa,2,medium,0.4819802967951116,0.453,medium
scene100.jsom.atrium,0,medium,0.5206384836014466,0.512,low
scene100.jsom.atrium,1,medium,0.49488714303529124,0.414,medium
scene100.jsom.atrium,2,medium,0.49170719541089913,0.345,medium
scene11.ecss.4f.sofa,0,easy,0.41276967202893133,0.161,medium
scene11.ecss.4f.sofa,1,easy,0.3972440453921935,0.056,high
scene11.ecss.4f.sofa,2,easy,0.39319117096894873,0.094,high
scene12.ecss.4f.sofa,0,hard,0.5637860082304527,0.378,medium
scene12.ecss.4f.sofa,1,easy,0.3056490834268612,0.0,high
scene12.ecss.4f.sofa,2,easy,0.3892006484599078,0.068,high
scene13.ecss.4f.sofa,0,easy,0.43228582117471004,0.278,medium
scene13.ecss.4f.sofa,1,easy,0.4190048634493079,0.207,medium
scene13.ecss.4f.sofa,2,easy,0.4239930165856092,0.215,medium
scene14.ecss.4f.sofa,0,hard,0.5589849108367626,0.405,medium
scene14.ecss.4f.sofa,1,easy,0.44986906098017204,0.455,medium
scene14.ecss.4f.sofa,2,medium,0.4764933283451802,0.445,medium
scene15.ecss.4f.sofa,0,easy,0.3168724279835391,0.007,high
scene15.ecss.4f.sofa,1,easy,0.39774286070582365,0.112,medium
scene15.ecss.4f.sofa,2,easy,0.43110113480483847,0.281,medium
scene16.SU.CHECKERBOARD,0,hard,0.5980172091283202,0.137,medium
scene16.SU.CHECKERBOARD,1,hard,0.5523756079311635,0.431,medium
scene16.SU.CHECKERBOARD,2,medium,0.5044269859084675,0.364,medium
scene17.SU.CHECKERBOARD,0,hard,0.5834268612046389,0.226,medium
scene17.SU.CHECKERBOARD,1,easy,0.413892006484599,0.146,medium
scene17.SU.CHECKERBOARD,2,hard,0.5899738121960344,0.21,medium
scene18.su.CHECKERBOARD,0,hard,0.5811821922933034,0.24,medium
scene18.su.CHECKERBOARD,1,hard,0.6028183065220103,0.131,medium
scene18.su.CHECKERBOARD,2,hard,0.6241426611796982,0.072,high
scene19.su.CHECKERBOARD,0,medium,0.49819179448809076,0.282,medium
scene19.su.CHECKERBOARD,1,medium,0.5342935528120714,0.483,medium
scene19.su.CHECKERBOARD,2,hard,0.6220850480109739,0.051,high
scene2.library.fountain,0,hard,0.5907220351664796,0.245,medium
scene2.library.fountain,1,hard,0.5660930290559921,0.389,medium
scene2.library.fountain,2,medium,0.5037411148522261,0.505,low
scene20.su.CHECKERBOARD,0,medium,0.5364135178949995,0.456,medium
scene20.su.CHECKERBOARD,1,hard,0.5580496321237062,0.432,medium
scene20.su.CHECKERBOARD,2,hard,0.6125452051377976,0.109,medium
scene21.jo.4f,0,easy,0.4563536600573638,0.461,medium
scene21.jo.4f,1,easy,0.3662551440329218,0.065,high
scene21.jo.4f,2,easy,0.36912333208629494,0.036,high
scene22.jo.4f,0,easy,0.3350791869310388,0.013,high
scene22.jo.4f,1,easy,0.3259134555430852,0.024,high
scene22.jo.4f,2,easy,0.3091407906222721,0.0,high
scene23.jo.4f,0,easy,0.4398304027933658,0.356,medium
scene23.jo.4f,1,easy,0.33476742736002,0.019,high
scene23.jo.4f,2,easy,0.37280209502431727,0.041,high
scene24.jo.4f,0,easy,0.40640977678014717,0.151,medium
scene24.jo.4f,1,easy,0.35665294924554175,0.028,high
scene24.jo.4f,2,easy,0.3795984536725277,0.062,high
scene25.jo.4f,0,easy,0.45834892131188426,0.49,medium
scene25.jo.4f,1,easy,0.40485097892505295,0.202,medium
scene25.jo.4f,2,easy,0.36725277466018214,0.045,high
scene26.gaming2.JUMBOTRONSTAGE,0,hard,0.5895997007108118,0.188,medium
