feature,kendall_tau,tier_flip_rate,tier_flip_n,flip_in_easy,flip_in_medium,flip_in_hard,rank_load_bearing
depth_invalid,0.9176165451832324,0.12794612794612795,38,9,19,10,1
depth_invalid_mask,0.9164789664056077,0.11447811447811448,34,10,17,7,2
dark,0.9151678555362793,0.11447811447811448,34,6,17,11,3
area_drop,0.9245574928804962,0.11447811447811448,34,7,17,10,4
vis_instability,0.9337231525300328,0.10774410774410774,32,7,16,9,5
occ_p90,0.9158049213930035,0.10101010101010101,30,6,15,9,6
iter_mean,0.9201856570804515,0.10101010101010101,30,7,15,8,7
obj_std,0.9327326713002453,0.10101010101010101,30,7,15,8,8
occ_mean,0.9166486548571056,0.10101010101010101,30,6,15,9,9
depth_std,0.9226551391302887,0.09427609427609428,28,7,14,7,10
occ_heavy,0.9322807062887356,0.09427609427609428,28,6,14,8,11
specular,0.9176127963058643,0.09427609427609428,28,6,14,8,12
fisheye_corr,0.9207107594583718,0.08754208754208755,26,6,13,7,13
iter_max,0.924578527302296,0.08754208754208755,26,6,13,7,14
jerk,0.9200700782796067,0.08080808080808081,24,6,12,6,15
fisheye_bright,0.9208804960495756,0.08080808080808081,24,5,12,7,16
area_cv,0.9260679142855063,0.08080808080808081,24,5,12,7,17
fisheye_dark,0.9198006964362719,0.08080808080808081,24,4,12,8,18
depth_std_mask,0.9181920575079453,0.08080808080808081,24,5,12,7,19
fisheye_sharpness,0.9211657909694216,0.07407407407407407,22,5,11,6,20
rot_mean,0.9191636523208021,0.07407407407407407,22,6,11,5,21
trans_p90,0.9204796252752305,0.07407407407407407,22,4,11,7,22
trans_mean,0.9233254459410266,0.07407407407407407,22,5,11,6,23
fisheye_texture,0.9204131780123772,0.07407407407407407,22,5,11,6,24
obj_mean,0.9338687847442969,0.06060606060606061,18,5,9,4,25
obj_consist,0.9355326773826435,0.06060606060606061,18,5,9,4,26
rot_p90,0.9195240156187751,0.05387205387205387,16,5,8,3,27
