,mean_pn,median_pn,max_pn,top3_mean_pn,pca_pc1,kmeans3,kmeans5,kmeans8,gmm3,ward3,dbscan
mean_pn,1.0,0.5434923688891943,0.035314319585603854,0.13269713558313848,0.10835143158375482,0.07485630815949168,0.07326834652337218,0.12876742037937788,0.08608294099652533,0.003677655156327524,0.0
median_pn,0.5434923688891943,1.0,0.023398278809534222,0.08534114594720656,0.09602449284988968,0.04593253123136516,0.04404806930657742,0.10904468318328323,0.06281451436970376,0.0022148952446465952,0.0
max_pn,0.035314319585603854,0.023398278809534222,1.0,0.2822639922207022,0.06592621744136895,0.033324731031925396,0.04739255886753585,0.0829410604237462,0.05109011335618901,0.008358486873706496,0.0
top3_mean_pn,0.13269713558313848,0.08534114594720656,0.2822639922207022,1.0,0.14605131921149236,0.09868134235990358,0.11261010530622537,0.19934388191442245,0.14163856426056445,0.010260074758891702,0.0
pca_pc1,0.10835143158375482,0.09602449284988968,0.06592621744136895,0.14605131921149236,1.0,0.28501721295456484,0.2868756140087965,0.20804508950093478,0.44106172860571036,0.020645670131826294,0.0
kmeans3,0.07485630815949168,0.04593253123136516,0.033324731031925396,0.09868134235990358,0.28501721295456484,1.0,0.7030521334948873,0.2734042404576811,0.5084027906780211,0.18704504573800912,0.0
kmeans5,0.07326834652337218,0.04404806930657742,0.04739255886753585,0.11261010530622537,0.2868756140087965,0.7030521334948873,1.0,0.37492100965537245,0.6144919640194243,0.27710109333643007,0.0
kmeans8,0.12876742037937788,0.10904468318328323,0.0829410604237462,0.19934388191442245,0.20804508950093478,0.2734042404576811,0.37492100965537245,1.0,0.3864104337191589,0.050319096922110826,0.0
gmm3,0.08608294099652533,0.06281451436970376,0.05109011335618901,0.14163856426056445,0.44106172860571036,0.5084027906780211,0.6144919640194243,0.3864104337191589,1.0,0.14383982022067976,0.0
ward3,0.003677655156327524,0.0022148952446465952,0.008358486873706496,0.010260074758891702,0.020645670131826294,0.18704504573800912,0.27710109333643007,0.050319096922110826,0.14383982022067976,1.0,0.0
dbscan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
