row,scene_id,phase,mahalanobis_dist,multivariate_outlier,cluster_outlier_methods,cluster_outlier_count
0,scene1.library.fountain,0,7.010829760966398,True,dbscan,1
1,scene1.library.fountain,1,7.611571585151128,True,dbscan,1
2,scene1.library.fountain,2,6.2470753260997265,False,dbscan,1
3,scene10.ecsn.4f.sofa,0,5.071224367373654,False,dbscan,1
4,scene10.ecsn.4f.sofa,1,4.863858207642638,False,dbscan,1
5,scene10.ecsn.4f.sofa,2,3.9830150876351067,False,dbscan,1
6,scene100.jsom.atrium,0,5.813175914683034,False,dbscan,1
7,scene100.jsom.atrium,1,11.95183745120047,True,dbscan,1
8,scene100.jsom.atrium,2,5.727872375374437,False,dbscan,1
9,scene11.ecss.4f.sofa,0,5.304217307688343,False,dbscan,1
10,scene11.ecss.4f.sofa,1,5.396053381132367,False,dbscan,1
11,scene11.ecss.4f.sofa,2,4.82406183115285,False,dbscan,1
12,scene12.ecss.4f.sofa,0,4.896438979152466,False,dbscan,1
13,scene12.ecss.4f.sofa,1,4.010939667756577,False,dbscan,1
14,scene12.ecss.4f.sofa,2,5.695695867262742,False,dbscan,1
15,scene13.ecss.4f.sofa,0,4.480309016196586,False,dbscan,1
16,scene13.ecss.4f.sofa,1,4.66532334398827,False,dbscan,1
17,scene13.ecss.4f.sofa,2,4.1640626002919,False,dbscan,1
18,scene14.ecss.4f.sofa,0,4.330026304699106,False,dbscan,1
19,scene14.ecss.4f.sofa,1,4.487262640888451,False,dbscan,1
20,scene14.ecss.4f.sofa,2,4.87003459253842,False,dbscan,1
21,scene15.ecss.4f.sofa,0,5.978756202254104,False,dbscan,1
22,scene15.ecss.4f.sofa,1,4.959874345503763,False,dbscan,1
23,scene15.ecss.4f.sofa,2,4.053634607588264,False,dbscan,1
24,scene16.SU.CHECKERBOARD,0,4.537169582103417,False,dbscan,1
25,scene16.SU.CHECKERBOARD,1,4.099984517506732,False,dbscan,1
26,scene16.SU.CHECKERBOARD,2,4.409389969080237,False,dbscan,1
27,scene17.SU.CHECKERBOARD,0,4.630046162312804,False,dbscan,1
28,scene17.SU.CHECKERBOARD,1,4.418943748992255,False,dbscan,1
29,scene17.SU.CHECKERBOARD,2,5.047441439422616,False,dbscan,1
30,scene18.su.CHECKERBOARD,0,10.859563285170083,True,dbscan,1
31,scene18.su.CHECKERBOARD,1,6.753656047350446,False,dbscan,1
32,scene18.su.CHECKERBOARD,2,4.4047931524303765,False,dbscan,1
33,scene19.su.CHECKERBOARD,0,4.645324580466686,False,dbscan,1
34,scene19.su.CHECKERBOARD,1,4.865541600643953,False,dbscan,1
35,scene19.su.CHECKERBOARD,2,5.475146605092478,False,dbscan,1
36,scene2.library.fountain,0,5.582853064098153,False,dbscan,1
37,scene2.library.fountain,1,5.62268906232631,False,dbscan,1
38,scene2.library.fountain,2,5.663523766066766,False,dbscan,1
39,scene20.su.CHECKERBOARD,0,4.964920689085248,False,dbscan,1
40,scene20.su.CHECKERBOARD,1,4.273358156173172,False,dbscan,1
41,scene20.su.CHECKERBOARD,2,5.910142610507863,False,dbscan,1
42,scene21.jo.4f,0,5.024913954713339,False,dbscan,1
43,scene21.jo.4f,1,6.1251803243130984,False,dbscan,1
44,scene21.jo.4f,2,4.807377272333594,False,dbscan,1
45,scene22.jo.4f,0,6.712578312263668,False,dbscan,1
46,scene22.jo.4f,1,5.457026549084517,False,dbscan,1
47,scene22.jo.4f,2,4.572487060212163,False,dbscan,1
48,scene23.jo.4f,0,6.001800376943152,False,dbscan,1
49,scene23.jo.4f,1,5.76854704664164,False,dbscan,1
50,scene23.jo.4f,2,4.653935416059092,False,dbscan,1
51,scene24.jo.4f,0,4.809495626042418,False,dbscan,1
