scene_id,phase,score_mean_pn,tier_mean_pn,score_median_pn,tier_median_pn,score_max_pn,tier_max_pn,score_top3_mean_pn,tier_top3_mean_pn,score_pca_pc1,tier_pca_pc1,tier_kmeans3,raw_cluster_kmeans3,tier_kmeans5,raw_cluster_kmeans5,tier_kmeans8,raw_cluster_kmeans8,tier_gmm3,raw_cluster_gmm3,tier_ward3,raw_cluster_ward3,tier_dbscan,raw_cluster_dbscan,consensus_tier,n_distinct_tiers
scene1.library.fountain,0,0.6202144905848609,hard,0.8080808080808081,hard,0.9983164983164983,hard,0.989337822671156,hard,6.4315762277811865,hard,medium,0,hard,0,hard,3,medium,1,easy,0,degenerate,-1,hard,3
scene1.library.fountain,1,0.5728270357899987,hard,0.5420875420875421,medium,1.0,hard,0.9848484848484849,hard,5.262903722911994,hard,hard,1,medium,2,medium,0,medium,1,hard,2,degenerate,-1,hard,2
scene1.library.fountain,2,0.5562414266117969,hard,0.6026936026936027,hard,0.9865319865319865,hard,0.9741863075196409,hard,1.1603898639619885,hard,medium,0,easy,1,medium,1,medium,1,easy,0,degenerate,-1,hard,3
scene10.ecsn.4f.sofa,0,0.5544955730140915,hard,0.5993265993265994,hard,0.9797979797979798,medium,0.9203142536475869,medium,0.3783109886765356,medium,medium,0,hard,0,easy,5,easy,2,easy,0,degenerate,-1,medium,3
scene10.ecsn.4f.sofa,1,0.5120962713555307,medium,0.6026936026936027,hard,0.98989898989899,hard,0.9517396184062852,hard,0.34128958966911965,medium,easy,2,easy,4,medium,2,easy,2,easy,0,degenerate,-1,easy,3
scene10.ecsn.4f.sofa,2,0.4819802967951116,medium,0.41414141414141414,easy,1.0,hard,0.9506172839506174,hard,-1.833225067653188,easy,easy,2,easy,4,medium,2,easy,2,easy,0,degenerate,-1,easy,3
scene100.jsom.atrium,0,0.5206384836014465,medium,0.44107744107744107,medium,0.9983164983164983,hard,0.9949494949494949,hard,0.7441808673363927,hard,medium,0,hard,0,hard,3,hard,0,easy,0,degenerate,-1,hard,3
scene100.jsom.atrium,1,0.49488714303529124,medium,0.5353535353535354,medium,0.9932659932659933,hard,0.9079685746352414,medium,0.304657974153798,medium,medium,0,easy,1,easy,5,easy,2,easy,0,degenerate,-1,medium,3
scene100.jsom.atrium,2,0.491707195410899,medium,0.5185185185185185,medium,0.9983164983164983,hard,0.8619528619528619,easy,-1.966535092419801,easy,easy,2,easy,1,easy,5,easy,2,easy,0,degenerate,-1,easy,3
scene11.ecss.4f.sofa,0,0.4127696720289313,easy,0.39730639730639733,easy,0.9730639730639731,medium,0.8597081930415263,easy,-2.129465979216913,easy,easy,2,easy,1,easy,5,easy,2,easy,0,degenerate,0,easy,2
scene11.ecss.4f.sofa,1,0.3972440453921935,easy,0.36363636363636365,easy,0.8653198653198653,easy,0.7766554433221099,easy,-2.3890251699563034,easy,easy,2,easy,1,easy,5,easy,2,easy,0,degenerate,-1,easy,1
scene11.ecss.4f.sofa,2,0.39319117096894873,easy,0.3501683501683502,easy,0.9764309764309764,medium,0.9046015712682379,medium,-2.6074986712666512,easy,easy,2,easy,1,easy,5,easy,2,easy,0,degenerate,0,easy,2
scene12.ecss.4f.sofa,0,0.5637860082304526,hard,0.5589225589225589,medium,0.98989898989899,hard,0.9668911335578002,hard,1.278587725023076,hard,medium,0,hard,0,hard,3,medium,1,easy,0,degenerate,-1,hard,3
scene12.ecss.4f.sofa,1,0.30564908342686115,easy,0.21885521885521886,easy,0.8249158249158249,easy,0.7856341189674523,easy,-2.6813964066470453,easy,easy,2,easy,1,easy,6,easy,2,easy,0,degenerate,-1,easy,1
scene12.ecss.4f.sofa,2,0.3892006484599077,easy,0.31986531986531985,easy,0.9595959595959596,medium,0.8148148148148149,easy,-2.0046335461576033,easy,easy,2,easy,1,easy,5,easy,2,easy,0,degenerate,-1,easy,2
scene13.ecss.4f.sofa,0,0.43228582117471004,easy,0.29292929292929293,easy,0.9629629629629629,medium,0.8675645342312008,easy,-0.49869517922946527,medium,medium,0,easy,1,easy,5,easy,2,easy,0,degenerate,-1,easy,2
scene13.ecss.4f.sofa,1,0.4190048634493078,easy,0.3265993265993266,easy,0.9225589225589226,easy,0.8742985409652076,easy,-0.6011089765359199,medium,easy,2,easy,1,easy,6,easy,2,easy,0,degenerate,-1,easy,2
scene13.ecss.4f.sofa,2,0.4239930165856092,easy,0.36363636363636365,easy,0.9932659932659933,hard,0.8709315375982043,easy,-2.649010269870171,easy,easy,2,easy,1,easy,5,easy,2,easy,0,degenerate,0,easy,2
scene14.ecss.4f.sofa,0,0.5589849108367627,hard,0.5925925925925926,hard,0.9797979797979798,medium,0.9595959595959597,hard,0.8068742962584206,hard,medium,0,hard,0,hard,3,medium,1,easy,0,degenerate,-1,hard,3
scene14.ecss.4f.sofa,1,0.449869060980172,easy,0.5589225589225589,medium,0.9562289562289562,medium,0.9472502805836139,hard,0.9159252842524866,hard,hard,1,medium,2,medium,0,medium,1,easy,0,degenerate,-1,medium,3
scene14.ecss.4f.sofa,2,0.47649332834518016,medium,0.45791245791245794,medium,0.9831649831649831,medium,0.9191919191919192,medium,-1.9449019524492757,easy,easy,2,easy,1,easy,5,easy,2,easy,0,degenerate,-1,easy,2
scene15.ecss.4f.sofa,0,0.3168724279835391,easy,0.2053872053872054,easy,0.9562289562289562,medium,0.8563411896745231,easy,-1.8772522042604238,easy,easy,2,easy,1,easy,5,easy,2,easy,0,degenerate,-1,easy,2
scene15.ecss.4f.sofa,1,0.39774286070582365,easy,0.4006734006734007,easy,0.8686868686868687,easy,0.8350168350168351,easy,-2.0307091630084035,easy,easy,2,easy,1,easy,6,easy,2,easy,0,degenerate,-1,easy,1
scene15.ecss.4f.sofa,2,0.4311011348048385,easy,0.28619528619528617,easy,0.9696969696969697,medium,0.9135802469135803,medium,-2.372976525068782,easy,easy,2,easy,1,easy,5,easy,2,easy,0,degenerate,0,easy,2
