row,dominant_tier,stability,n_visited
0,hard,1.0,802
1,hard,1.0,799
2,hard,1.0,799
3,hard,1.0,799
4,medium,1.0,791
5,medium,1.0,806
6,medium,1.0,821
7,medium,1.0,807
8,medium,1.0,794
9,easy,1.0,796
10,easy,1.0,781
11,easy,1.0,796
12,hard,1.0,793
13,easy,1.0,799
14,easy,1.0,805
15,easy,1.0,789
16,easy,1.0,791
17,easy,1.0,791
18,hard,1.0,804
19,easy,1.0,801
20,medium,0.9834815756035579,787
21,easy,1.0,794
22,easy,1.0,796
23,easy,1.0,799
24,hard,1.0,796
25,hard,0.9962779156327544,806
26,medium,1.0,789
27,hard,1.0,798
28,easy,1.0,816
29,hard,1.0,809
30,hard,1.0,784
31,hard,1.0,803
32,hard,1.0,803
33,medium,1.0,782
34,medium,0.9962453066332916,799
35,hard,1.0,788
36,hard,1.0,813
37,hard,1.0,818
38,medium,1.0,800
39,medium,0.9899874843554443,799
40,hard,1.0,795
41,hard,1.0,793
42,easy,1.0,819
43,easy,1.0,814
44,easy,1.0,804
45,easy,1.0,804
46,easy,1.0,805
47,easy,1.0,775
48,easy,1.0,798
49,easy,1.0,792
50,easy,1.0,788
51,easy,1.0,786
52,easy,1.0,793
53,easy,1.0,784
54,easy,1.0,794
55,easy,1.0,787
56,easy,1.0,806
57,hard,1.0,785
58,easy,1.0,822
59,hard,1.0,767
60,hard,1.0,784
61,easy,1.0,809
62,hard,1.0,812
63,hard,1.0,795
64,easy,1.0,806
65,hard,1.0,780
66,medium,1.0,827
67,easy,1.0,801
68,medium,1.0,808
69,medium,1.0,780
70,medium,1.0,799
71,medium,1.0,800
72,medium,1.0,788
73,easy,1.0,804
74,hard,0.9950372208436724,806
75,easy,1.0,793
76,easy,1.0,800
77,easy,1.0,798
78,easy,1.0,795
79,easy,1.0,781
80,easy,1.0,796
81,medium,1.0,813
82,easy,1.0,799
83,medium,1.0,792
84,easy,1.0,795
85,easy,1.0,790
86,medium,1.0,789
87,medium,0.5129198966408268,774
88,easy,1.0,783
89,easy,1.0,791
90,medium,1.0,819
91,medium,1.0,809
92,hard,1.0,795
93,medium,0.6561712846347607,794
94,easy,1.0,794
