row,base_tier,n_perturb,tier_flip_rate
0,hard,1000,0.136
1,hard,1000,0.342
2,hard,1000,0.43
3,hard,1000,0.443
4,medium,1000,0.479
5,medium,1000,0.453
6,medium,1000,0.512
7,medium,1000,0.414
8,medium,1000,0.345
9,easy,1000,0.161
10,easy,1000,0.056
11,easy,1000,0.094
12,hard,1000,0.378
13,easy,1000,0.0
14,easy,1000,0.068
15,easy,1000,0.278
16,easy,1000,0.207
17,easy,1000,0.215
18,hard,1000,0.405
19,easy,1000,0.455
20,medium,1000,0.445
21,easy,1000,0.007
22,easy,1000,0.112
23,easy,1000,0.281
24,hard,1000,0.137
25,hard,1000,0.431
26,medium,1000,0.364
27,hard,1000,0.226
28,easy,1000,0.146
29,hard,1000,0.21
30,hard,1000,0.24
31,hard,1000,0.131
32,hard,1000,0.072
33,medium,1000,0.282
34,medium,1000,0.483
35,hard,1000,0.051
36,hard,1000,0.245
37,hard,1000,0.389
38,medium,1000,0.505
39,medium,1000,0.456
40,hard,1000,0.432
41,hard,1000,0.109
42,easy,1000,0.461
43,easy,1000,0.065
44,easy,1000,0.036
45,easy,1000,0.013
46,easy,1000,0.024
47,easy,1000,0.0
48,easy,1000,0.356
49,easy,1000,0.019
50,easy,1000,0.041
51,easy,1000,0.151
52,easy,1000,0.028
53,easy,1000,0.062
54,easy,1000,0.49
55,easy,1000,0.202
56,easy,1000,0.045
57,hard,1000,0.188
58,easy,1000,0.248
59,hard,1000,0.336
60,hard,1000,0.021
61,easy,1000,0.395
62,hard,1000,0.138
63,hard,1000,0.268
64,easy,1000,0.284
65,hard,1000,0.441
66,medium,1000,0.231
67,easy,1000,0.101
68,medium,1000,0.409
69,medium,1000,0.473
70,medium,1000,0.377
71,medium,1000,0.457
72,medium,1000,0.352
73,easy,1000,0.141
74,hard,1000,0.448
75,easy,1000,0.483
76,easy,1000,0.011
77,easy,1000,0.098
78,easy,1000,0.156
79,easy,1000,0.036
80,easy,1000,0.155
81,medium,1000,0.531
82,easy,1000,0.233
83,medium,1000,0.389
84,easy,1000,0.405
85,easy,1000,0.044
86,medium,1000,0.351
87,easy,1000,0.575
88,easy,1000,0.002
89,easy,1000,0.06
90,medium,1000,0.347
91,medium,1000,0.392
92,hard,1000,0.085
93,medium,1000,0.504
94,easy,1000,0.268
95,medium,1000,0.348
96,medium,1000,0.488
97,easy,1000,0.216
98,hard,1000,0.348
99,hard,1000,0.398
100,easy,1000,0.542
101,hard,1000,0.265
102,medium,1000,0.54
103,medium,1000,0.512
104,easy,1000,0.385
105,hard,1000,0.117
106,hard,1000,0.498
107,hard,1000,0.425
108,hard,1000,0.171
109,medium,1000,0.517
110,hard,1000,0.441
111,hard,1000,0.209
112,hard,1000,0.264
113,hard,1000,0.001
114,hard,1000,0.125
115,hard,1000,0.475
116,hard,1000,0.002
117,hard,1000,0.401
118,hard,1000,0.342
119,hard,1000,0.063
120,hard,1000,0.044
121,hard,1000,0.095
122,hard,1000,0.013
123,medium,1000,0.337
124,medium,1000,0.504
125,medium,1000,0.397
126,hard,1000,0.148
127,easy,1000,0.571
128,easy,1000,0.521
129,medium,1000,0.365
130,medium,1000,0.471
131,easy,1000,0.527
132,hard,1000,0.315
133,hard,1000,0.312
134,hard,1000,0.064
135,hard,1000,0.312
136,medium,1000,0.533
137,medium,1000,0.523
138,medium,1000,0.357
139,medium,1000,0.382
140,medium,1000,0.425
141,easy,1000,0.139
142,easy,1000,0.355
143,easy,1000,0.382
144,medium,1000,0.421
145,medium,1000,0.425
146,medium,1000,0.401
147,easy,1000,0.276
148,medium,1000,0.411
149,medium,1000,0.526
150,easy,1000,0.129
151,medium,1000,0.242
152,easy,1000,0.082
153,easy,1000,0.008
154,easy,1000,0.28
155,easy,1000,0.219
156,medium,1000,0.453
157,easy,1000,0.065
158,hard,1000,0.425
159,easy,1000,0.313
160,easy,1000,0.068
161,easy,1000,0.393
162,easy,1000,0.419
163,medium,1000,0.44
164,medium,1000,0.415
165,medium,1000,0.472
166,easy,1000,0.044
167,medium,1000,0.404
168,easy,1000,0.522
169,medium,1000,0.465
170,easy,1000,0.252
171,hard,1000,0.065
172,hard,1000,0.0
173,hard,1000,0.017
174,hard,1000,0.015
175,hard,1000,0.024
176,hard,1000,0.1
177,hard,1000,0.005
178,hard,1000,0.078
179,hard,1000,0.097
180,medium,1000,0.482
181,hard,1000,0.48
182,hard,1000,0.477
183,hard,1000,0.244
184,hard,1000,0.214
185,hard,1000,0.506
186,medium,1000,0.337
187,easy,1000,0.426
188,medium,1000,0.485
189,hard,1000,0.199
190,medium,1000,0.47
191,medium,1000,0.406
192,easy,1000,0.378
193,medium,1000,0.455
194,medium,1000,0.398
195,medium,1000,0.481
196,medium,1000,0.466
197,medium,1000,0.412
198,hard,1000,0.524
199,medium,1000,0.555
200,medium,1000,0.488
201,medium,1000,0.427
202,hard,1000,0.486
203,hard,1000,0.479
204,easy,1000,0.102
205,easy,1000,0.008
206,easy,1000,0.018
207,easy,1000,0.144
208,easy,1000,0.311
209,easy,1000,0.529
210,easy,1000,0.055
211,easy,1000,0.273
212,easy,1000,0.062
213,medium,1000,0.485
214,medium,1000,0.468
215,easy,1000,0.321
216,easy,1000,0.006
217,easy,1000,0.206
218,easy,1000,0.54
219,hard,1000,0.409
220,easy,1000,0.269
221,hard,1000,0.366
222,medium,1000,0.312
223,easy,1000,0.224
224,medium,1000,0.368
225,medium,1000,0.426
226,easy,1000,0.456
227,medium,1000,0.5
228,medium,1000,0.352
229,medium,1000,0.509
230,hard,1000,0.464
231,medium,1000,0.394
232,easy,1000,0.054
233,medium,1000,0.455
234,hard,1000,0.413
235,medium,1000,0.441
236,hard,1000,0.524
237,hard,1000,0.006
238,hard,1000,0.495
239,hard,1000,0.149
240,hard,1000,0.035
241,medium,1000,0.517
242,hard,1000,0.378
243,hard,1000,0.068
244,hard,1000,0.131
245,medium,1000,0.427
246,hard,1000,0.249
247,hard,1000,0.097
248,medium,1000,0.493
249,hard,1000,0.228
250,hard,1000,0.092
251,medium,1000,0.519
252,hard,1000,0.17
253,medium,1000,0.428
254,easy,1000,0.258
255,hard,1000,0.394
256,hard,1000,0.08
257,hard,1000,0.19
258,hard,1000,0.288
259,hard,1000,0.066
260,hard,1000,0.323
261,medium,1000,0.439
262,hard,1000,0.208
263,hard,1000,0.377
264,hard,1000,0.398
265,medium,1000,0.487
266,medium,1000,0.414
267,medium,1000,0.508
268,medium,1000,0.285
269,easy,1000,0.533
270,hard,1000,0.368
271,easy,1000,0.012
272,medium,1000,0.488
273,easy,1000,0.534
274,easy,1000,0.014
275,medium,1000,0.412
276,medium,1000,0.442
277,easy,1000,0.133
278,medium,1000,0.433
279,medium,1000,0.266
280,easy,1000,0.001
281,medium,1000,0.449
282,hard,1000,0.304
283,easy,1000,0.145
284,medium,1000,0.431
285,medium,1000,0.437
286,hard,1000,0.23
287,medium,1000,0.371
288,medium,1000,0.512
289,medium,1000,0.439
290,medium,1000,0.506
291,medium,1000,0.61
292,easy,1000,0.447
293,medium,1000,0.461
294,medium,1000,0.437
295,easy,1000,0.306
296,easy,1000,0.532
