feature,n,mean,std,var,min,p25,p50,p75,max,cv,ci95_low,ci95_high,prop_zero
iter_mean,300,1.39724,0.5635746478319706,0.31761638367892975,1.0,1.0,1.126,1.558,3.904,0.4033484926225778,1.3334666963395982,1.4610133036604018,0.0
iter_max,300,2.3133333333333335,1.0546071351870867,1.1121962095875142,1.0,1.0,3.0,3.0,5.0,0.4558820469108444,2.193995493468747,2.43267117319792,0.0
obj_mean,300,6.96872,0.1633751502904939,0.02669143973244147,5.904,6.976,7.0,7.0,8.0,0.023444068679828418,6.950232700917048,6.987207299082953,0.0
obj_std,300,0.10117501810327463,0.15773069544666637,0.02487897228608902,0.0,0.0,0.0,0.16497272501841023,0.8031537835309002,1.5589885566974884,0.0833264374831512,0.11902359872339806,0.5666666666666667
obj_consist,300,0.9733733333333333,0.07151289582857195,0.0051140942697881836,0.116,0.98,1.0,1.0,1.0,0.07346913396905465,0.9652810359972935,0.9814656306693731,0.0
occ_mean,300,0.1852355665743077,0.16928944475618735,0.028658916105858207,0.0,0.058215564116835594,0.13871511071920395,0.2560400366783142,0.8183115124702454,0.9139143625977275,0.16607901436162548,0.20439211878698993,0.006666666666666667
occ_p90,300,0.32277185985981,0.2855579703650513,0.08154335443900752,0.0,0.12457657232880592,0.2415265068411827,0.4528520405292511,1.54023277759552,0.8847052853029944,0.2904585270532427,0.3550851926663773,0.006666666666666667
occ_heavy,300,0.1950595238095238,0.2647127757133054,0.07007285362584274,0.0,0.0,0.0,0.2857142857142857,1.0,1.3570871626437386,0.16510500351075819,0.2250140441082894,0.5233333333333333
depth_invalid,300,0.023699469661458337,0.017411746908154706,0.000303168930393635,0.0003111848958333333,0.01034525390625,0.020841171875,0.033773919270833334,0.09230096354166666,0.7346893055784642,0.021729181205255677,0.025669758117660996,0.0
depth_invalid_mask,300,0.017891710685764048,0.02229028565081882,0.0004968568343950993,5.933320355806739e-06,0.0020792633820736926,0.007409601429288303,0.02850751794215621,0.10759201967088572,1.2458442930532405,0.01536937374077324,0.020414047630754856,0.0
depth_std,300,2.1383031117173035,1.7956848393530986,3.2244840422825636,0.20127674829959868,0.9024437298476696,1.5876377639770507,2.750858123123646,8.963297019958496,0.8397709517950227,1.9351059754036275,2.3415002480309792,0.0
depth_std_mask,300,0.17812646552577613,0.0952370940382696,0.009070104080854208,0.06062818929553032,0.12288306920975448,0.17059710147976875,0.20242497543245552,1.0392235918045043,0.5346599886611916,0.16734957174391168,0.18890335930764057,0.0
specular,300,0.003405649175347222,0.004541037539865053,2.0621021938463654e-05,0.0,0.000519423828125,0.002184322916666667,0.0045222721354166665,0.04418434895833333,1.3333838296488871,0.002891791841492416,0.003919506509202028,0.013333333333333334
dark,300,0.0007039286892361112,0.0011404539786903343,1.3006352775106135e-06,0.0,3.1578776041666666e-05,0.000178828125,0.0008636555989583333,0.007103684895833332,1.6201271465834577,0.000574876542952525,0.0008329808355196972,0.006666666666666667
area_cv,300,0.3301813084549621,0.0816246653998186,0.0066625860016323426,0.16335583813016163,0.26892031286288054,0.3291362509878441,0.3879636864134243,0.5419265233377636,0.24721164799355227,0.32094477769058793,0.3394178392193362,0.0
area_drop,300,0.0023958730158730158,0.0040584357933555245,1.6470901088789285e-05,0.0,0.0,0.0005714285714285715,0.003,0.028,1.6939277526261962,0.0019366262076080136,0.002855119824138018,0.4533333333333333
vis_instability,300,0.0023876190476190473,0.005379212292656357,2.893592488946526e-05,0.0,0.0,0.0,0.002285714285714286,0.045142857142857144,2.252960872472747,0.001778915053723957,0.0029963230415141376,0.5666666666666667
trans_mean,300,0.02279496650111427,0.011247308448560318,0.00012650194733705632,0.004739743159382508,0.018235659111733124,0.022191898031818487,0.02613813484583348,0.14844855054862582,0.4934119314459411,0.02152223711236062,0.024067695889867922,0.0
