scene_id,phase,local_mask_id,source_catalog_id,object_name,object_id,mask_source
scene001,phase0,1,82.2,lion,lion.2,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,2,18.2,boot,boot.2,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,3,63.2,hammer,hammer.2,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,4,1,air_duster_can,air_duster_can,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,5,43.1,doll,doll.1,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,6,3,alarm_clock,alarm_clock,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,7,55,game_controller,game_controller,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,1,82.2,lion,lion.2,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,2,18.2,boot,boot.2,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,3,63.2,hammer,hammer.2,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,4,1,air_duster_can,air_duster_can,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,5,43.1,doll,doll.1,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,6,3,alarm_clock,alarm_clock,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,7,55,game_controller,game_controller,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,1,82.2,lion,lion.2,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,2,18.2,boot,boot.2,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,3,63.2,hammer,hammer.2,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,4,1,air_duster_can,air_duster_can,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,5,43.1,doll,doll.1,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,6,3,alarm_clock,alarm_clock,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,7,55,game_controller,game_controller,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene002,phase0,1,65,handy_pot,handy_pot,scenes/scene002/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene002,phase0,2,85.1,milk_box,milk_box.1,scenes/scene002/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
