model	split	source_file	metric_path	value	source_directory
cut3r	easy	result.json	task	relative_pose	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	model	CUT3R-512-DPT	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	split	easy	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	repo_id	IRVLUTD/RPX	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	num_samples	6676	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	aggregated.rotation_error_deg	0.963116168453473	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	aggregated.translation_error_m	0.030030084817300424	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	aggregated.translation_angular_deg	10.137197044522562	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	aggregated.pose_error_max_deg	10.147595857113433	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	aggregated.latency_ms	475.7694957699457	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	per_sample.__length__	6676	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	robustness.weighted_phase_score		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	robustness.temporal_stability		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	robustness.state_transition		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	robustness.geometric_coherence		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	compute_cost.params_m	463.439	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	compute_cost.flops_g		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	compute_cost.macs_g		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	compute_cost.actmem_gb_fp16		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	result.json	compute_cost.memory_traffic_gb	5.5613	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
