model	model_key	split	prediction_rows	unique_predictions	expected_predictions	status	n_pairs	n_headline_intra_pairs	translation_metric_available	rotation_error_deg_mean	rotation_error_deg_median	translation_angular_deg	translation_error_m_mean	translation_error_m_median	pose_error_max_deg	auc_5deg	auc_10deg	auc_20deg	temporal_chains	mean_drift_rotation_deg	mean_drift_translation_m	parameters_millions	flops_g	latency_p50_ms	latency_p95_ms	latency_p99_ms	peak_gpu_memory_mb	source_directory
CUT3R-512-DPT	cut3r	easy	6676	6676	6676	COMPLETE	6676	3376	True	0.9462237572131393	0.8455794039985873	10.137197044516396	0.02960747987657287	0.02500534389498408	11.199468845333785	0.1372881660203935	0.3353185288908038	0.5687742352434295	330	4.713870588886007	0.21108794793133678							/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
CUT3R-512-DPT	cut3r	hard	6879	6879	6879	COMPLETE	6879	3479	True	1.0075259297080918	0.9267590829342589	8.805557697904765	0.04542763267573767	0.02875173886747716	9.749359404863462	0.1511856129562367	0.3746142076121955	0.6214516536448127	340	6.141212578293062	0.34943146868227515							/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/hard
CUT3R-512-DPT	cut3r	medium	6715	6715	6715	COMPLETE	6715	3415	True	0.9899136991341431	0.8812353878648896	10.072230226568488	0.033920988262210294	0.027051133713002107	11.075066060609416	0.13579721076060752	0.34467811349216915	0.5759794134611118	330	5.211474856031563	0.2501560230762144							/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/medium
DA3-GIANT	da3	easy	6676	6676	6676	COMPLETE	6676	3376	False	0.7317314658467003	0.643807420979223	6.25227667961458			6.62532736633012	0.2254790200584039	0.4752815477045334	0.6965597922351476	330	2.577431488886152								/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/easy
DA3-GIANT	da3	hard	6879	6879	6879	COMPLETE	6879	3479	False	0.76526698554535	0.7096747372860135	6.8470210509901746			7.379884725386199	0.22510096654965867	0.47179904825780083	0.6957488074188275	340	2.932907616561809								/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/hard
DA3-GIANT	da3	medium	6715	6715	6715	COMPLETE	6715	3415	False	0.7559764618446116	0.6731655531097082	6.504957037907849			7.123890734355972	0.2197051037460993	0.46496591093955664	0.6872975730955233	330	2.6361582500392324								/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/medium
DUSt3R-ViTL-512	dust3r	easy	6676	6676	6676	COMPLETE	6676	3376	False	1.2067379573528227	0.8138576967381494	15.930900964323369			17.264313085629798	0.07711893819713725	0.21308164584230935	0.42392078366604424	330	5.4511790356906635								/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/easy
DUSt3R-ViTL-512	dust3r	hard	6879	6879	6879	COMPLETE	6879	3479	False	1.0613623615320849	0.8490597165660976	15.914799868482671			16.814262613453405	0.06780655070393501	0.1937919000293246	0.4022780260204807	340	5.606835560042275								/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/hard
DUSt3R-ViTL-512	dust3r	medium	6715	6715	6715	COMPLETE	6715	3415	False	1.0379680107017737	0.853440988599377	16.122682621172657			17.664926455651297	0.06620820207935875	0.19819572001123978	0.40523684872147536	330	4.8356862693769385								/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/medium
Fast3R-ViT-Large-512	fast3r	easy	6676	6676	6676	COMPLETE	6676	3376	False	1.0566169327976498	0.9117649811228858	10.351152620559777			11.041011835139475	0.12521841639140216	0.32008174158648095	0.554460481593183	330	5.040921126835952								/data/narendhiran_rpx/docker-smoke/rcpe-production-fast3r-87ef027/fast3r/easy
