model	split	phase	source_directory	rotation_error_deg	translation_angular_deg	pose_error_max_deg	translation_error_m	translation_l2	auc_5deg	auc_10deg	auc_20deg	n_pairs
cut3r	easy	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy	1.0062609784363779	10.500525146626991	10.511582770357846	0.029516189285768907	0.029516189285768907	0.12413808529674919	0.32111094542201013	0.567485833581867	3353
cut3r	easy	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy	0.9195818494326992	9.770588821110792	9.780322875463511	0.030548619790744747	0.030548619790744747	0.16401895877219377	0.3828197411977129	0.612594041528739	3323
cut3r	hard	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/hard	1.0477882819073723	10.128343634602208	10.138012962171778	0.0564835126514547	0.0564835126514547	0.1322190118462872	0.3501329095637099	0.6058985842242126	3461
cut3r	hard	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/hard	0.9891884664938854	7.466130510394567	7.480160923059081	0.03384319283741246	0.03384319283741246	0.1776726155646577	0.41925980105324745	0.6667612638970157	3418
cut3r	medium	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/medium	1.0610254603677798	10.357910430095632	10.367806463676061	0.03611064908622074	0.03611064908622074	0.1197366855102648	0.32883219279976195	0.5723371020529603	3361
cut3r	medium	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/medium	0.932722235550676	9.785953791251035	9.795855348796941	0.03233000653849828	0.03233000653849828	0.1607722122838402	0.3889072748956469	0.6175372689326177	3354
da3	easy	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/easy	0.7700872171177646	6.734282798205414	6.745395445111228			0.2008768267223382	0.45175365344467633	0.6861452430659111	3353
da3	easy	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/easy	0.7148189455137695	5.765919016167375	5.7811279679313765			0.26826512187782126	0.5239662955160999	0.7305371652121577	3323
da3	hard	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/hard	0.7923789715252103	8.170304235218683	8.179878842253924			0.20374747182895114	0.45216989309448136	0.6810618318405086	3461
da3	hard	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/hard	0.7519528526110096	5.507090360348029	5.521514130407643			0.2669324166179052	0.5220406670567582	0.7375863077823287	3418
da3	medium	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/medium	0.7924714791715101	6.693709780473365	6.702084777760964			0.2094659327581077	0.45714817018744425	0.6884245760190418	3361
da3	medium	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/medium	0.7311422471353612	6.315810357000666	6.329293357665834			0.2534511031604055	0.5088446630888492	0.7181768038163386	3354
dust3r	easy	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/easy	1.2238650772674604	16.8992380604829	17.139650266079514			0.06973903966597075	0.2015120787354608	0.4151312257679689	3353
dust3r	easy	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/easy	1.0855753381265356	14.953821733681503	15.148091043065504			0.08903851941017152	0.23965242250978025	0.4600586819139333	3323
dust3r	hard	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/hard	1.0815069657606122	16.91542613989258	16.98828269666199			0.0644091303091592	0.1888500433400751	0.39518780699219874	3461
dust3r	hard	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/hard	1.0684967722844734	14.901585261885332	14.986968263465599			0.0773390871854886	0.21547981275599765	0.4279330017554125	3418
dust3r	medium	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/medium	1.068452189490312	16.402547817098363	16.518919850571155			0.06974114846771792	0.20908806902707527	0.4202127343052663	3361
dust3r	medium	2	/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/medium	1.0047337909907879	15.842233329727723	15.978697872174283			0.07159361955873582	0.2108989266547406	0.4251416219439476	3354
fast3r	easy	0	/data/narendhiran_rpx/docker-smoke/rcpe-production-fast3r-87ef027/fast3r/easy	1.0813500590020888	10.227519778869572	10.2356327713151			0.11853713092752756	0.31314047121980304	0.5601014017297941	3353
