model	split	phi	p_value	effect	jedi	jedi_clutter	jedi_clean	status	source_directory
cut3r	easy	{'phi_wilks': 0.953570977444655, 'phi_pillai': 0.9535709774446511, 'phi_conservative': 0.9535709774446511, 'p_value': 0.7050561431885883, 'n_eff': 33, 'K': 3, 's': 1, 'wilks_lambda': 0.953570977444655, 'pillai_V': 0.0464290225553489}		small	{'jedi': 0.29392789252039364, 'per_phase': {'clutter': 0.2696397029201443, 'clean': 0.31821608212064306}, 'n_cells': 66, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	hard	{'phi_wilks': 0.9249209950274623, 'phi_pillai': 0.9249209950274567, 'phi_conservative': 0.9249209950274567, 'p_value': 0.4974348587086247, 'n_eff': 34, 'K': 3, 's': 1, 'wilks_lambda': 0.9249209950274623, 'pillai_V': 0.0750790049725433}		medium	{'jedi': 0.32489427194255444, 'per_phase': {'clutter': 0.2920014717333021, 'clean': 0.3577870721518069}, 'n_cells': 68, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/hard
cut3r	medium	{'phi_wilks': 0.8564388050707344, 'phi_pillai': 0.8564388050707421, 'phi_conservative': 0.8564388050707344, 'p_value': 0.20616619162645544, 'n_eff': 33, 'K': 3, 's': 1, 'wilks_lambda': 0.8564388050707344, 'pillai_V': 0.14356119492925795}		large	{'jedi': 0.29769841101870614, 'per_phase': {'clutter': 0.2654876439836679, 'clean': 0.3299091780537443}, 'n_cells': 66, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/medium
da3	easy	{'phi_wilks': 0.8695582334628271, 'phi_pillai': 0.8695582334628291, 'phi_conservative': 0.8695582334628271, 'p_value': 0.2486485484739952, 'n_eff': 33, 'K': 3, 's': 1, 'wilks_lambda': 0.8695582334628271, 'pillai_V': 0.1304417665371709}		medium	{'jedi': 0.41923054652871056, 'per_phase': {'clutter': 0.38707032082091647, 'clean': 0.4513907722365048}, 'n_cells': 66, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/easy
da3	hard	{'phi_wilks': 0.8627299723627281, 'phi_pillai': 0.862729972362727, 'phi_conservative': 0.862729972362727, 'p_value': 0.2121550413099882, 'n_eff': 34, 'K': 3, 's': 1, 'wilks_lambda': 0.8627299723627281, 'pillai_V': 0.13727002763727303}		medium	{'jedi': 0.41854394716971055, 'per_phase': {'clutter': 0.3803834708005218, 'clean': 0.4567044235388993}, 'n_cells': 68, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/hard
da3	medium	{'phi_wilks': 0.8885785214706178, 'phi_pillai': 0.888578521470629, 'phi_conservative': 0.8885785214706178, 'p_value': 0.32291018726296694, 'n_eff': 33, 'K': 3, 's': 1, 'wilks_lambda': 0.8885785214706178, 'pillai_V': 0.11142147852937095}		medium	{'jedi': 0.41186625467082943, 'per_phase': {'clutter': 0.38661686818381497, 'clean': 0.43711564115784396}, 'n_cells': 66, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-da3-87eb4c5/da3/medium
dust3r	easy	{'phi_wilks': 0.9507792637860234, 'phi_pillai': 0.9507792637860272, 'phi_conservative': 0.9507792637860234, 'p_value': 0.6849267273755935, 'n_eff': 33, 'K': 3, 's': 1, 'wilks_lambda': 0.9507792637860234, 'pillai_V': 0.04922073621397283}		small	{'jedi': 0.18648275892218316, 'per_phase': {'clutter': 0.17002894831229773, 'clean': 0.20293656953206862}, 'n_cells': 66, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/easy
dust3r	hard	{'phi_wilks': 0.9617629277689796, 'phi_pillai': 0.9617629277689774, 'phi_conservative': 0.9617629277689774, 'p_value': 0.7556958642779359, 'n_eff': 34, 'K': 3, 's': 1, 'wilks_lambda': 0.9617629277689796, 'pillai_V': 0.03823707223102253}		small	{'jedi': 0.17182162204826043, 'per_phase': {'clutter': 0.15847767346889907, 'clean': 0.18516557062762165}, 'n_cells': 68, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/hard
dust3r	medium	{'phi_wilks': 0.9856300759453921, 'phi_pillai': 0.9856300759453982, 'phi_conservative': 0.9856300759453921, 'p_value': 0.9346360229705607, 'n_eff': 33, 'K': 3, 's': 1, 'wilks_lambda': 0.9856300759453921, 'pillai_V': 0.014369924054601853}		small	{'jedi': 0.17165657584435454, 'per_phase': {'clutter': 0.1667656767788589, 'clean': 0.1765474749098502}, 'n_cells': 66, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-dust3r-daf2dd7/dust3r/medium
fast3r	easy	{'phi_wilks': 0.9503602416213843, 'phi_pillai': 0.9503602416213827, 'phi_conservative': 0.9503602416213827, 'p_value': 0.6819240839447852, 'n_eff': 33, 'K': 3, 's': 1, 'wilks_lambda': 0.9503602416213843, 'pillai_V': 0.049639758378617296}		small	{'jedi': 0.278233949291639, 'per_phase': {'clutter': 0.2627227829571772, 'clean': 0.29374511562610084}, 'n_cells': 66, 'n_out_of_bounds': 0}			computed	/data/narendhiran_rpx/docker-smoke/rcpe-production-fast3r-87ef027/fast3r/easy
