protocol	frame_budget	model	directory_split	source_file	metric_path	value	source_directory
mos	250	sam2	easy	result.json	clips	99	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	dataset.manifest_sha256	0ba018a738383d23df239f1b138669dd1cc8261a730d41cb84ce1bde14f80c4a	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	dataset.repo	IRVLUTD/RPX	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	dataset.revision	2e2a387f7f93e98c177b2e039c141eacda94e5fc	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	evaluator_git_sha	2bb9b919082727eb099f2b0824f97373a32a33d1	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	frames	24750	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	hardware.gpu_compute_capability.__length__	2	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	hardware.gpu_name	NVIDIA RTX 6000 Ada Generation	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	hardware.gpu_total_memory_bytes	50865307648	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	hardware.torch_cuda_version	12.8	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	hardware.torch_version	2.7.1+cu128	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	model	sam2	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	model_checkpoint.filename	sam2_hiera_large.pt	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	model_checkpoint.repo	facebook/sam2-hiera-large	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	model_checkpoint.revision	e6a8e8809b8f1bfa2238b6d080f3d05cc76bd251	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	model_checkpoint.sha256	7442e4e9b732a508f80e141e7c2913437a3610ee0c77381a66658c3a445df87b	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.0.assa	0.9833498702467866	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.0.deta	0.9770452539875396	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.0.hota	0.9800871189070506	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.0.idf1	0.9969574272757153	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.0.idsw	0.0	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.0.mota	0.9939146547175447	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.1.assa	0.9639370717607465	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.1.deta	0.9386569013442452	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.1.hota	0.9506772950653466	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.1.idf1	0.9805525767418451	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.1.idsw	0.18181818181818182	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.1.mota	0.9631458812817235	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.2.assa	0.9814831191943628	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.2.deta	0.9720517336999439	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.2.hota	0.9766383507946228	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.2.idf1	0.9939504789217558	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.2.idsw	0.15151515151515152	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	phase_metrics.2.mota	0.9882055366814713	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	prediction_stats.complete_clip_cache_hits	99	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
mos	250	sam2	easy	result.json	prediction_stats.inferred_clips	0	/data/narendhiran_rpx/docker-smoke/tracking-production-250/sam2/easy
