protocol	frame_budget	model	cells	unique_scenes	total_frames	total_scored_frames	hota_mean	hota_median	deta_mean	deta_median	assa_mean	assa_median	idf1_mean	idf1_median	mota_mean	mota_median	idsw_mean	idsw_median	idsw_total	latency_median_ms	latency_p95_ms	throughput_median_fps	peak_gpu_memory_allocated_mb_max	peak_gpu_memory_reserved_mb_max	parameter_count_max	total_wall_time_s
ego	250	cutie	100	100	23121	23021	0.9035259501682984	0.9211113173455334	0.8925771302459176	0.9159278689644944	0.9161397295117539	0.9282165971710705	0.9501192039542959	0.967041064361299	0.9105121269574289	0.9405268399991373	1.54	0.0	154.0	24.993097176775336	27.0428174873814	40.01105471855985	832.14306640625	2300.0	35024186	2130.0068450560793
ego	250	dam4sam	100	100	23121	23021	0.9418872409840349	0.9667570031811514	0.9379254632154114	0.9692857725197566	0.9469968315081584	0.9668115474179559	0.9650180357125939	0.9862493631555909	0.9376674417837368	0.9742479261690453	2.7	0.0	270.0	441.8799157720059	524.5155133772641	2.2630705914449205	3530.4296875	3990.0	224446642	11729.394034024328
ego	250	edgetam	100	100	23121	23021	0.8838598935027858	0.9100152115841791	0.8718544610007848	0.9030679325832599	0.897386890985014	0.9215261468747815	0.9336905055086038	0.9609238252808923	0.8767580373112138	0.9220075578649032	1.84	0.0	184.0	34.70264852512628	41.080208285711706	28.81628013604569	1294.09423828125	1712.0	13895794	2581.9459243444726
ego	250	mits	100	100	23121	23021	0.8266849776380851	0.8524168039145776	0.808168597404233	0.841444254351507	0.8488567265156216	0.8741163072126931	0.8853865323214262	0.9188475447278264	0.7852368131734321	0.8450594252647446	3.73	2.0	373.0	23.319095838814974	25.1101442030631	42.8833108171666	1966.99609375	2612.0	32743472	2324.9561376683414
ego	250	sam2	100	100	23121	23021	0.903699252842882	0.9138163774476853	0.8878740840244823	0.914199324095699	0.921394560244297	0.9370967417208389	0.9383345442789478	0.9519164847353723	0.8878027839807678	0.9133149006868847	2.0	0.0	200.0	87.7760115545243	97.34122317750007	11.392781224847003	3190.783203125	3646.0	224430130	3747.2047453448176
ego	250	sam2-plus	100	100	23121	23021	0.8134298430917372	0.8094384846186391	0.7772047367137808	0.7710402859371636	0.8537883328218022	0.8656909408834894	0.8729432741147629	0.8769857627268409	0.7848614576975221	0.7858673964166267	0.75	0.0	75.0	108.49474964197725	114.79245282243937	9.217042340545447	2541.36181640625	2902.0	101205890	5227.499965053052
ego	250	sam2long	100	100	23121	23021	0.9522926960060265	0.9729986304180361	0.9498351083543822	0.9740380416654113	0.9558194360206193	0.972644754676049	0.9724580236212597	0.9901762256950992	0.952694580812773	0.9811258024766283	1.73	0.0	173.0	965.9631266797165	1166.1179002383756	1.035236214573089	6159.25830078125	6830.0	224446642	23707.08670615172
ego	250	xmem	100	100	23121	23021	0.8681090117056415	0.8862050968133546	0.8500279342627836	0.8743492972998379	0.8888810656943243	0.9045371388898733	0.9244078225223086	0.9483756392549181	0.8614443094739727	0.9023460750784379	1.49	0.0	149.0	23.398063727654517	24.728846619836986	42.73858156497261	1354.39404296875	2010.0	62185224	2280.5552516705357
mos	250	cutie	300	100	75000	74700	0.9299663079216203	0.9450980139319278	0.916587759757679	0.9404078215065987	0.94502617496093	0.9539028685921049	0.9763550787835038	0.9962686564090143	0.9543811646740804	0.9925351652917087	0.6266666666666667	0.0	188.0	24.428875534795225	27.211376279592514	40.93517490310151	635.638671875	1016.0	35024186	3388.605007416103
mos	250	dam4sam	300	100	75000	74700	0.9551748091563926	0.9753969343589874	0.9444773851895953	0.9737715563831161	0.9670497577633544	0.9779689839008616	0.9794000100731446	0.9977051061388411	0.9607501255368834	0.9954102122776821	0.97	0.0	291.0	376.84939499013126	405.77509972499683	2.6535799969629688	3788.7060546875	4242.0	224446642	29868.043151468737
