protocol	frame_budget	model	split	phase	cells	unique_scenes	total_frames	total_scored_frames	hota_mean	hota_median	deta_mean	deta_median	assa_mean	assa_median	idf1_mean	idf1_median	mota_mean	mota_median	idsw_mean	idsw_median	idsw_total	latency_median_ms	latency_p95_ms	throughput_median_fps	peak_gpu_memory_allocated_mb_max	peak_gpu_memory_reserved_mb_max	parameter_count_max	total_wall_time_s
ego	250	cutie	easy	0	33	33	7552	7519	0.9154639178261946	0.927441058718841	0.9046582284524881	0.9193156568202676	0.9271059748986249	0.9350018820084803	0.9600093659502725	0.9751111111111112	0.9259331120087063	0.9549668874172186	1.4545454545454546	0.0	48.0	25.00975038856268	27.058979868888855	39.98440546041253	829.740234375	1976.0	35024186	673.6249218597077
ego	250	cutie	hard	0	34	34	7878	7844	0.8967841216136335	0.920369444431842	0.8808123289358004	0.9153962985261602	0.9140979668868714	0.9254274373518716	0.9458784557777077	0.9623269240178091	0.8966725565959814	0.9250117302895227	1.588235294117647	0.0	54.0	25.135071948170662	26.400545821525156	39.79085857751778	830.05908203125	2300.0	35024186	755.800600937102
ego	250	cutie	medium	0	33	33	7691	7658	0.8985341089000567	0.9183776500158173	0.8926173424800732	0.9144409428747985	0.9072771183444589	0.927214598658705	0.9445982976554106	0.9599083619702177	0.9093500931876429	0.9234507897934386	1.5757575757575757	0.0	52.0	24.577460950240493	26.977388933300972	40.68768543766987	832.14306640625	2100.0	35024186	700.5813222592697
ego	250	dam4sam	easy	0	33	33	7552	7519	0.9432842218975287	0.9629147027377807	0.9363171712854054	0.9682897988195068	0.9507760306602465	0.9629698884562621	0.9656040444654744	0.984853367708669	0.9336322715165711	0.9724483406386976	2.757575757575758	0.0	91.0	486.9954171590507	531.3115677796304	2.053407413633636	3528.6494140625	3960.0	224446642	4092.032715873327
ego	250	dam4sam	hard	0	34	34	7878	7844	0.9435949101216075	0.9691153484307169	0.939445833787277	0.9692857725197566	0.9480503986643136	0.968366366769505	0.9677550172111968	0.9885731664928745	0.940464730107837	0.9766795296835584	2.588235294117647	0.0	88.0	425.93430064152926	502.8093051863834	2.3477826296860433	3528.29248046875	3956.0	224446642	3786.079806903377
ego	250	dam4sam	medium	0	33	33	7691	7658	0.938730843383345	0.974225124495625	0.9379673127380401	0.9735283469538011	0.9421321389224561	0.9748412881843486	0.9616121066278202	0.9861064046086072	0.938820557413951	0.9735234215885947	2.757575757575758	0.0	91.0	440.84906531497836	511.8329405784607	2.2683500514751436	3530.4296875	3990.0	224446642	3851.2815112476237
ego	250	edgetam	easy	0	33	33	7552	7519	0.9217227129556332	0.9452932932999382	0.914768517052645	0.9427539413751597	0.9290971533445794	0.9422458782644734	0.961406311198338	0.9772570640937285	0.9264114400902428	0.9579288025889967	2.0	0.0	66.0	35.12669401243329	41.17126129567623	28.468377913561817	1292.97314453125	1712.0	13895794	900.8280113954097
ego	250	edgetam	hard	0	34	34	7878	7844	0.8605388505565157	0.8931205824575326	0.8413369846286111	0.8834762758115181	0.8813267214729725	0.9039370198934751	0.914909738011997	0.944422952374657	0.8369183664762437	0.8910383128979342	1.8529411764705883	0.5	63.0	34.214643528684974	40.65261121140793	29.22771672546484	1294.09423828125	1712.0	13895794	833.8578987079673
ego	250	edgetam	medium	0	33	33	7691	7658	0.8700248152673073	0.8839744431916221	0.8603826533323771	0.8717289976138826	0.8822234699408852	0.8961281896885811	0.9253245814820403	0.9398572884811417	0.86815156811973	0.8864526233359437	1.6666666666666667	0.0	55.0	35.47124960459769	40.440688375383615	28.191845822944526	1288.20751953125	1712.0	13895794	847.2600142410956
ego	250	mits	easy	0	33	33	7552	7519	0.853584908358967	0.8661397425446197	0.8424724091537652	0.8511303360835413	0.865977583680539	0.8824607681015596	0.9156149098965438	0.9422744555824404	0.8395055909274809	0.9066059225512528	4.757575757575758	2.0	157.0	23.382403422147036	25.126604363322258	42.76720326588982	1965.55517578125	2548.0	32743472	763.442779046949
ego	250	mits	hard	0	34	34	7878	7844	0.7931684021440224	0.8298168038699867	0.7649121173704134	0.8126770984442064	0.8265338716893589	0.8522525438244186	0.8451235074906625	0.890508428086974	0.706143145008328	0.7790620094066951	3.5588235294117645	2.0	121.0	23.502565920352936	25.25694570504129	42.54854596643952	1966.99609375	2568.0	32743472	801.9022166212089
ego	250	mits	medium	0	33	33	7691	7658	0.8343172762141163	0.8655040657762749	0.818432068113788	0.8512621698011323	0.8547351743232173	0.8836239400160099	0.8966412712386104	0.9221668742216688	0.8124584814076723	0.85359477124183	2.878787878787879	2.0	95.0	23.0439780279994	25.040786946192384	43.395285257821286	1965.45849609375	2612.0	32743472	759.6111420001835
ego	250	sam2	easy	0	33	33	7552	7519	0.9185149144325624	0.9393280099416079	0.9052434538100008	0.9325231218499812	0.9324624176905354	0.9462606652239703	0.9501223726134301	0.9680310726023305	0.9064230857384381	0.9360812425328554	2.121212121212121	0.0	70.0	90.35285655409098	101.2576765846461	11.067718699091005	3189.009765625	3646.0	224430130	1349.886256495025
ego	250	sam2	hard	0	34	34	7878	7844	0.8955220467538287	0.9293541935486633	0.8751525176197273	0.9248639191981007	0.9176233551054518	0.9392567496433144	0.9329255421773072	0.962572265358628	0.8718547474567266	0.9268066512314064	2.0	0.0	68.0	85.5728320311755	90.66724930889904	11.686212579790984	3190.783203125	3640.0	224430130	1186.791055365
ego	250	sam2	medium	0	33	33	7691	7658	0.897308591466166	0.8898761354399783	0.8836117826559844	0.8863838836178438	0.9142121868805051	0.9349009414931935	0.9321196272007011	0.9361158432708688	0.8856137925812013	0.8796147672552167	1.878787878787879	0.0	62.0	87.41522999480367	93.0387610103935	11.439654166207013	3190.111328125	3640.0	224430130	1210.5274334847927
ego	250	sam2-plus	easy	0	33	33	7552	7519	0.8217451901498364	0.8725605673638465	0.7890235260607549	0.8492845009368343	0.8573107076298201	0.8974557856037976	0.8818870404250516	0.9234972677595629	0.799183324279852	0.8578680203045685	0.48484848484848486	0.0	16.0	109.5690350048244	112.95500644482672	9.126666123836623	2540.0810546875	2902.0	101205890	1741.4839643528685
ego	250	sam2-plus	hard	0	34	34	7878	7844	0.8010059412104125	0.7924200756037338	0.7580024544756815	0.7300669110767248	0.8485268575887642	0.8464690033527453	0.8606057820427512	0.8609840112254619	0.7624976327491679	0.7560729086030724	0.9117647058823529	0.0	31.0	97.70575352013111	115.09029255248606	10.236465903808718	2541.36181640625	2864.0	101205890	1763.2733806455508
ego	250	sam2-plus	medium	0	33	33	7691	7658	0.8179148797901542	0.8078535302381438	0.7851701169454541	0.7682449427044593	0.8556868718902476	0.8546754519049736	0.8767108632726075	0.8739047619047619	0.7935811077286483	0.776005547850208	0.8484848484848485	0.0	28.0	109.46731688454747	113.1503046490252	9.135146712828229	2541.36181640625	2880.0	101205890	1722.7426200546324
ego	250	sam2long	easy	0	33	33	7552	7519	0.9586796091831461	0.9746743683250803	0.9550293789451398	0.9741186665289223	0.9626005130594889	0.9752642632584394	0.9777826298813231	0.9907674552798615	0.9583742985423935	0.981534910559723	1.7575757575757576	0.0	58.0	1122.415241857279	1181.429375439996	0.890935869995211	6157.40673828125	6824.0	224446642	8668.853835549206
ego	250	sam2long	hard	0	34	34	7878	7844	0.9452856004141578	0.9689176533455149	0.9391959465304445	0.9682008200475589	0.9518275772745879	0.9693034472697233	0.9666721835118968	0.9874221908556928	0.939143045167475	0.975657444520481	1.4411764705882353	0.0	49.0	877.3796407815013	1006.438930972449	1.1397650678325495	6157.47705078125	6830.0	224446642	7304.6256564883515
ego	250	sam2long	medium	0	33	33	7691	7658	0.9531252146508317	0.9741118098984634	0.9556023984307118	0.9745681853287523	0.9531511831443269	0.9747031942629043	0.973094585958722	0.99375	0.9609770513237631	0.9874706342991386	2.0	0.0	66.0	957.8895337160377	1088.8484075828464	1.0439617145837254	6159.25830078125	6828.0	224446642	7733.607214114163
ego	250	xmem	easy	0	33	33	7552	7519	0.8830089314919002	0.8940924624414749	0.8679390745719369	0.8869108006637102	0.8991538426975509	0.9115230094086872	0.9381714672608095	0.9563187729243081	0.8818712760009163	0.9141145139813582	1.4242424242424243	0.0	47.0	23.743417346850038	24.659683229401708	42.116936470927456	1354.39404296875	2010.0	62185224	752.008701200597
ego	250	xmem	hard	0	34	34	7878	7844	0.8617843289902817	0.8719456558341293	0.838382225846763	0.8439118184057468	0.8881948530418721	0.9010975302227104	0.9182983077585767	0.936985731792717	0.8430896904817973	0.8782303308484485	1.7352941176470589	0.0	59.0	22.66140142455697	24.6456382679753	44.12789784623161	1353.6962890625	1836.0	62185224	778.8105806079693
ego	250	xmem	medium	0	33	33	7691	7658	0.8597254316867232	0.8649979260219062	0.8441154026246818	0.8536299248965424	0.8793152956663526	0.89420651502874	0.9169388293585621	0.9418181818181818	0.8599281625147255	0.8970070422535211	1.303030303030303	0.0	43.0	23.377683013677597	24.738513864576817	42.77583879527023	1354.39404296875	1834.0	62185224	749.7359698619694
mos	250	cutie	easy	0	33	33	8250	8217	0.9640194609938746	0.9748231536779222	0.9590949708029739	0.9720002385569204	0.9694826535388172	0.9767977761600735	0.9964184050679286	1.0	0.9928366701374874	1.0	0.0	0.0	0.0	25.601283879950643	27.87184859625995	39.060541052909414	587.37255859375	854.0	35024186	421.8228679918684
mos	250	cutie	easy	1	33	33	8250	8217	0.925067086641807	0.937906427481829	0.9096543786261508	0.9333483220627699	0.9425987011662468	0.943661882734464	0.9747425895396994	0.9927766541462005	0.9510803343624454	0.9866975130133024	0.24242424242424243	0.0	8.0	25.520778028294444	27.96298209577799	39.18375838273102	589.69091796875	1000.0	35024186	453.6657034077216
mos	250	cutie	easy	2	33	33	8250	8217	0.9686960557587303	0.9725874372424025	0.9654492250507158	0.9695231646328865	0.9722475753961255	0.9747252198318188	0.9992134193723271	1.0	0.9984450087420971	1.0	0.09090909090909091	0.0	3.0	25.269385194405913	27.35022851265967	39.57357855391662	587.91162109375	864.0	35024186	362.9595478295814
mos	250	cutie	hard	0	34	34	8500	8466	0.9211446455516272	0.9335545601209804	0.9053207674878793	0.9214900231488264	0.9385723050914817	0.9446948361158136	0.9718021252810257	0.9948188975634178	0.9440138786127434	0.9896306590056316	0.8529411764705882	0.0	29.0	22.541105514392257	25.849207711871713	44.363448456860986	587.88330078125	864.0	35024186	368.1836662408896
mos	250	cutie	hard	1	34	34	8500	8466	0.85557119983745	0.8616215072216409	0.8245862368003182	0.8440434117339004	0.8916216743816733	0.8829358477135637	0.9252576989813558	0.963460247339295	0.8582469938464159	0.9267219088503968	2.3529411764705883	0.0	80.0	22.517402074299753	25.92806275933981	44.41028777557916	588.64697265625	1016.0	35024186	352.4314412858803
mos	250	cutie	hard	2	34	34	8500	8466	0.9377783309565622	0.9362508913943175	0.929332618600624	0.9274113684925303	0.947008225607153	0.9491654025657817	0.9868452003596689	0.9937805053115131	0.9743811328240064	0.9875827472967775	0.4117647058823529	0.0	14.0	23.673097020946443	26.196648902259767	42.24241658395434	590.21923828125	874.0	35024186	363.3510545459576
mos	250	cutie	medium	0	33	33	8250	8217	0.9474262943734068	0.9517364095508813	0.9381413100789946	0.9467728616899774	0.9575574284910892	0.9599361992259808	0.9846889157905375	0.9959839357429718	0.969678003805448	0.9919678714859438	0.8787878787878788	0.0	29.0	24.528011912479997	26.84458359144628	40.769712749984194	635.638671875	902.0	35024186	377.130781279644
mos	250	cutie	medium	1	33	33	8250	8217	0.8931473424096904	0.9055977004281629	0.8659261356986624	0.8955881453398813	0.9237321733936809	0.9399075855581658	0.9533403594040093	0.9741379310344828	0.9108694945557754	0.9483055715106261	0.696969696969697	0.0	23.0	22.617598064243793	26.053844019770622	44.2133597546285	633.25	866.0	35024186	345.69104237901047
mos	250	cutie	medium	2	33	33	8250	8217	0.9591313471174703	0.961125726218774	0.954527335775344	0.9578873171659147	0.9641686654549054	0.9670903926657362	0.9962554865194817	0.9988276670574443	0.992500222414823	0.9976525821596244	0.06060606060606061	0.0	2.0	23.13322899863124	26.00675579160452	43.22786066999849	634.099609375	866.0	35024186	343.3689024555497
mos	250	dam4sam	easy	0	33	33	8250	8217	0.9850995012388263	0.9891158731337022	0.9835388459598043	0.9880798660178971	0.9867423547556645	0.99055369418732	0.9991219319374227	0.9994262765347103	0.9982436989903963	0.9988525530694206	0.0	0.0	0.0	376.141345128417	401.22546618804336	2.6585750621447737	3528.2509765625	3964.0	224446642	3368.099740625592
mos	250	dam4sam	easy	1	33	33	8250	8217	0.9608893803600133	0.9685162398462095	0.9523710380678713	0.9659956273243215	0.9703906668036707	0.9713690353556402	0.9873561244337007	0.9977051061388411	0.9763477530732957	0.9954102122776821	0.12121212121212122	0.0	4.0	368.9079028554261	399.4590756483376	2.710703653296083	3528.06640625	3964.0	224446642	3291.013697071001
mos	250	dam4sam	easy	2	33	33	8250	8217	0.9847972729229968	0.9865863811207348	0.9835880804452386	0.9858413036134737	0.9860564920321012	0.9873454938650328	0.9992672666749112	1.0	0.9985520312486408	1.0	0.15151515151515152	0.0	5.0	371.9855919480324	400.8074636105448	2.688276163501793	3530.634765625	3974.0	224446642	3322.53026157734
mos	250	dam4sam	hard	0	34	34	8500	8466	0.9533023379569134	0.9713793163787932	0.9425418686321341	0.9693595282977532	0.9649063659031545	0.9736573235449251	0.9771127899878732	0.9964136933057091	0.9544125728222779	0.9928263159246795	1.2941176470588236	0.0	44.0	374.9931025085971	400.48687763046473	2.666736237869057	3528.576171875	3982.0	224446642	3341.517552830046
mos	250	dam4sam	hard	1	34	34	8500	8466	0.8808692608899938	0.8826493775369084	0.848653355645051	0.8567274002889178	0.9176002824695518	0.9152866896539846	0.9302470924767153	0.9491916859122402	0.8667802337267237	0.8982323961743373	3.411764705882353	0.0	116.0	360.8490586047992	392.6711622509174	2.771246730807344	3532.1171875	3972.0	224446642	3225.5476699650753
mos	250	dam4sam	hard	2	34	34	8500	8466	0.9611546070869852	0.9716611174825434	0.954136066588506	0.9689641871599628	0.9686003384200274	0.9742450002524274	0.9881411464639717	0.9972609653292372	0.9769507764989082	0.994521173856846	0.4117647058823529	0.0	14.0	377.2292314097285	402.82180552603677	2.6509087069745094	3529.5205078125	3964.0	224446642	3338.909231671365
mos	250	dam4sam	medium	0	33	33	8250	8217	0.9667974553427219	0.9822841978043875	0.9583243383420202	0.9810598818178807	0.9761822600963491	0.9833726371927053	0.9824629718398415	0.9982788296041308	0.9657625886522738	0.9965576592082617	1.0	0.0	33.0	395.07497986778617	413.2906027138233	2.531165097659829	3782.2109375	4214.0	224446642	3368.368873122381
mos	250	dam4sam	medium	1	33	33	8250	8217	0.929071815212695	0.9489774725340628	0.9061774129027466	0.9456920144779081	0.9545402591605122	0.9621636090269806	0.9586770462644257	0.9931153184165232	0.9252457570287386	0.9862306368330465	2.212121212121212	0.0	73.0	386.7892539128661	413.8468555640429	2.585387235771744	3788.7060546875	4242.0	224446642	3235.4089536371175
mos	250	dam4sam	medium	2	33	33	8250	8217	0.9767188702307903	0.9843035605136081	0.9736351832958057	0.9820206286307075	0.9799452331533208	0.985691469593045	0.9935076297094664	0.9982788296041308	0.9870044085047193	0.9965576592082617	0.06060606060606061	0.0	2.0	395.9967440459877	417.56516774185	2.525273288317412	3786.07666015625	4134.0	224446642	3376.6471709688194
mos	250	edgetam	easy	0	33	33	8250	8217	0.9706562464943305	0.9756911340582878	0.9670820046101144	0.9729547857528151	0.9745374094106746	0.9783478032745624	0.9966444073619043	0.9994262765347103	0.9932884550228136	0.9988525530694206	0.0	0.0	0.0	50.644891103729606	85.69104699417949	19.745328269179705	1236.80126953125	1544.0	13895794	866.0145863788202
mos	250	edgetam	easy	1	33	33	8250	8217	0.9252332793810801	0.938979083507469	0.9096356534685477	0.9319087981570714	0.9426634518867454	0.9419832930040892	0.968056739666019	0.9899569583931134	0.9384073137675591	0.9799081515499426	0.18181818181818182	0.0	6.0	49.97538193129003	84.54670109786093	20.009852078266782	1235.70751953125	1544.0	13895794	777.2568958534393
mos	250	edgetam	easy	2	33	33	8250	8217	0.9698774400778208	0.9748761363094722	0.966771587728341	0.9725583198658327	0.9731973423573954	0.9781115166206222	0.9967660254240273	0.9994262765347103	0.9935466489535341	0.9988525530694206	0.030303030303030304	0.0	1.0	56.88360403291881	99.16285322979093	17.579758121888606	1235.84814453125	1544.0	13895794	970.3448028701823
mos	250	edgetam	hard	0	34	34	8500	8466	0.9315518701634357	0.942228693920392	0.9205467195510657	0.930556619088291	0.9432852502593091	0.9545577546185207	0.9751512274379214	0.9880936329865475	0.9506674750086098	0.9761840539128797	1.1764705882352942	0.0	40.0	42.8301339270547	61.73033165978261	23.348056175814	1236.48876953125	1556.0	13895794	680.4464834029786
mos	250	edgetam	hard	1	34	34	8500	8466	0.8392924248505669	0.8429883727333451	0.8019982644652549	0.8141210991797172	0.8822871746419276	0.8817973296126322	0.9093530521667478	0.9259417040204789	0.8262769268798729	0.8521347001279633	2.5	0.0	85.0	41.62539658136666	46.49061633972451	24.023795396121315	1235.64501953125	1556.0	13895794	630.6476299958304
mos	250	edgetam	hard	2	34	34	8500	8466	0.9377131433288526	0.9437083537657	0.9281327570477769	0.9377356932688812	0.9480984691114791	0.9512189244243121	0.9814582785876664	0.9907239641155998	0.9636775404153248	0.981437219496921	0.5882352941176471	0.0	20.0	45.08027445990592	76.58380055800079	22.18323885598418	1236.36376953125	1508.0	13895794	915.9600773884449
mos	250	edgetam	medium	0	33	33	8250	8217	0.9463511926405969	0.9475763005809024	0.9369424378957006	0.9431208014209375	0.9564673402854565	0.9544644705850084	0.9784220073706652	0.9913941480206541	0.9577436441298364	0.9827882960413081	0.6363636363636364	0.0	21.0	40.72061204351485	45.88628420606255	24.55758766423698	1319.95068359375	1564.0	13895794	509.3446371227037
mos	250	edgetam	medium	1	33	33	8250	8217	0.9004242209814233	0.9121220397137908	0.874941735873762	0.9025360956634884	0.9286215608145785	0.9319717387595426	0.9494474895699819	0.9816408491107286	0.9031009817265121	0.9632816982214573	0.9696969696969697	0.0	32.0	40.601607877761126	47.89478299207985	24.629566469650428	1337.07568359375	1648.0	13895794	507.5872737332247
mos	250	edgetam	medium	2	33	33	8250	8217	0.9579507401199838	0.9618426114889262	0.9525911145327182	0.9585957332223073	0.9636341399942041	0.9658806522914816	0.9903053959923245	0.9982598607888631	0.9807140662258378	0.9965197215777262	0.06060606060606061	0.0	2.0	40.5349968932569	49.72765063866973	24.670040129356774	1321.57568359375	1584.0	13895794	489.3857130117249
mos	250	mits	easy	0	33	33	8250	8217	0.9375622539697877	0.9419661784150377	0.9294427365263581	0.9324863114741567	0.9465020837517722	0.9512566976323568	0.9891484145395082	0.9988525530694206	0.9783188890889077	0.9977051061388411	0.0	0.0	0.0	15.880253165960312	21.558535238727927	62.97128827539872	958.869140625	1254.0	32743472	344.4318297645077
mos	250	mits	easy	1	33	33	8250	8217	0.8653116760896771	0.873252648382425	0.8331736766047891	0.8547255650622614	0.9030199334610842	0.9113852662233534	0.931290846928055	0.9759768451519537	0.8695649172493897	0.9519953730480046	1.0606060606060606	0.0	35.0	15.26940893381834	21.60427370108664	65.49041972313825	961.25244140625	1182.0	32743472	335.5287494119257
mos	250	mits	easy	2	33	33	8250	8217	0.9578569685525699	0.9575880671147088	0.9542638598793439	0.9542251090374654	0.9617990863486368	0.9631100299655628	0.9970923332509101	0.9994262765347103	0.9942081112613398	0.9988525530694206	0.09090909090909091	0.0	3.0	15.118822921067476	21.609700471162796	66.1427152907876	958.3193359375	1152.0	32743472	335.63755595241673
mos	250	mits	hard	0	34	34	8500	8466	0.8833096103814931	0.89715269188992	0.8608465429375377	0.8815947073062187	0.9085226085662012	0.9147908181123873	0.9544321675129686	0.9818989751257683	0.9095228431727468	0.9637400804008309	0.9705882352941176	0.0	33.0	15.938240336254239	22.533615259453654	62.742204851385964	960.7998046875	1222.0	32743472	360.9191386238672
mos	250	mits	hard	1	34	34	8500	8466	0.7740057109841806	0.7711933537828738	0.7283953612662325	0.7489439551008739	0.8280464091691361	0.8233025631549733	0.8617124721899333	0.9003025057266257	0.7423422051199066	0.8007143213697399	3.823529411764706	1.0	130.0	15.602656523697078	21.687223436310887	64.09192328993161	960.7998046875	1218.0	32743472	341.1484651605133
mos	250	mits	hard	2	34	34	8500	8466	0.9017149438249457	0.9122536902148848	0.8825593178167449	0.9026054460017536	0.9234787611211976	0.9263529267249602	0.9600182790173588	0.9865135463948627	0.9205570494938481	0.9738881720090136	0.4117647058823529	0.0	14.0	15.815070015378296	22.56432097638026	63.23484509215476	959.56298828125	1218.0	32743472	351.30302695091814
mos	250	mits	medium	0	33	33	8250	8217	0.9083949274426839	0.9039167736665238	0.8901768390225108	0.8960772863697253	0.9287537501307416	0.9349570264143362	0.9674964814285378	0.9804934021801491	0.9357254051562172	0.9609868043602984	0.8787878787878788	0.0	29.0	17.070027999579906	22.254010289907455	58.58221205170899	960.42578125	1222.0	32743472	357.7741870142054
mos	250	mits	medium	1	33	33	8250	8217	0.8238520440986334	0.8398255613740468	0.7802888066741264	0.797787005593854	0.8746576908252834	0.8920938038165663	0.8921395668072316	0.9205462445685909	0.7972805838427502	0.8518518518518519	1.5151515151515151	0.0	50.0	16.295572044327855	22.330675926059484	61.36636365263893	959.30126953125	1200.0	32743472	355.60694850212894
mos	250	mits	medium	2	33	33	8250	8217	0.9345920811034759	0.9449399407318134	0.9242213778261296	0.9380382338806756	0.94606616395322	0.9526077410317301	0.9811561582420968	0.9942627653471027	0.9623171313027379	0.9885255306942053	0.06060606060606061	0.0	2.0	16.70253393240273	22.936388850212097	59.871155122158505	961.45849609375	1218.0	32743472	358.9286316060461
mos	250	motip	easy	0	12	12	3000	3000	0.11673694483866022	0.10292391738867385	0.08860238407272536	0.08812716884202128	0.1619841490848481	0.12737069150969216	0.11564683601791555	0.10788357499592703	0.018235425520322545	0.008285714285714285	8.5	10.0	102.0	44.56910921726376	49.92581614642404	22.446648244265745	556.41552734375	742.0	59141664	277.77754806983285
mos	250	motip	easy	1	12	12	3000	3000	0.11095037038662592	0.0796304245848097	0.07455432540214867	0.04528199468891576	0.17642032807960162	0.11564252498627567	0.10353239858262901	0.08068318252201415	-0.08459341552330864	-0.07407438131706962	5.083333333333333	3.0	61.0	42.88760223425925	46.638333570444956	23.326836495745013	556.41552734375	742.0	59141664	253.63175948732533
mos	250	motip	easy	2	11	11	2750	2750	0.14588243457053268	0.14460249281291077	0.11001870429501293	0.11763467902573947	0.20694761236085435	0.1563699659059161	0.15083911583992524	0.16722408026755853	0.0757236200843716	0.07371428571428572	9.909090909090908	8.0	109.0	43.00915764179081	48.208625230472535	23.250862254236008	556.41552734375	744.0	59141664	239.43386531807482
mos	250	sam2	easy	0	33	33	8250	8217	0.9800871189070506	0.9884977481311561	0.9770452539875396	0.9870725471726544	0.9833498702467866	0.9896626429440029	0.9969574272757153	1.0	0.9939146547175447	1.0	0.0	0.0	0.0	94.50276498682797	146.50102872401476	10.581700970753422			224430130	
mos	250	sam2	easy	1	33	33	8250	8217	0.9506772950653466	0.9632638195725728	0.9386569013442452	0.9603416463062759	0.9639370717607465	0.9674406630844653	0.9805525767418451	0.9965576592082617	0.9631458812817235	0.9931153184165232	0.18181818181818182	0.0	6.0	95.50859103910625	142.5826229620725	10.470262299132308			224430130	
mos	250	sam2	easy	2	33	33	8250	8217	0.9766383507946228	0.9839219239697877	0.9720517336999439	0.9828323285089444	0.9814831191943628	0.9852187516805325	0.9939504789217558	1.0	0.9882055366814713	1.0	0.15151515151515152	0.0	5.0	95.26749700307846	150.43556513264775	10.496759455826641			224430130	
mos	250	sam2	hard	0	34	34	8500	8466	0.9574458236957194	0.9748745455833836	0.9497781067979619	0.9728238880005096	0.9655579450523971	0.9768733487595014	0.9834965859019782	0.9985637118423584	0.9675666227876208	0.9971274236847167	0.9117647058823529	0.0	31.0	89.7141060559079	125.80915124854073	11.146706251448784	3146.552734375	3522.0	224430130	1036.9055591337383
mos	250	sam2	hard	1	34	34	8500	8466	0.8852571166823119	0.8895948319131308	0.8575026468053065	0.8777282063489504	0.9164279703166478	0.9140220889133093	0.9366326574104199	0.9592109596258974	0.8793433245233993	0.9194477919177271	2.764705882352941	0.0	94.0	87.06670545507222	120.7989130867645	11.485663428151337	3145.904296875	3530.0	224430130	1027.0608298333827
mos	250	sam2	hard	2	34	34	8500	8466	0.9673798850867326	0.9723439294447977	0.9635302133926847	0.9695063846288426	0.9714006447428993	0.9741960187918355	0.9933275059629193	0.9984220546872877	0.9873762050189104	0.9968445209409065	0.4117647058823529	0.0	14.0	90.07012296933681	127.595249353908	11.102461690810086	3144.998046875	3534.0	224430130	1059.019752646098
mos	250	sam2	medium	0	33	33	8250	8217	0.9636297025165792	0.9751794654123136	0.9566333520470118	0.974460889199806	0.9711251951671103	0.9769155710468022	0.9844830872337966	0.9977051061388411	0.9696388789158771	0.9954102122776821	0.8787878787878788	0.0	29.0	134.2983499635011	154.64152274653316	7.446107865597566	3332.73779296875	3700.0	224430130	1362.9238912155852
mos	250	sam2	medium	1	33	33	8250	8217	0.9274707727680025	0.9448622171363558	0.9064044158116623	0.9363681950337385	0.9505734896193666	0.9579187151678215	0.9612189189636932	0.9919586444572085	0.927803558895032	0.983917288914417	0.8484848484848485	0.0	28.0	129.70006791874766	156.48312331177294	7.71009619383132	3334.92529296875	3716.0	224430130	1323.141433696961
mos	250	sam2	medium	2	33	33	8250	8217	0.9669924207925829	0.9807791314467175	0.9613968165531998	0.9781735059641941	0.9729038811487131	0.9834963360384711	0.9885631813231734	0.9994262765347103	0.9784475030238114	0.9988525530694206	0.06060606060606061	0.0	2.0	135.74716495350003	158.54652859270573	7.3666363517982	3332.47998046875	3714.0	224430130	1335.9627208872698
