file_name,scene_phase,scene_id,phase_index,phase_name,difficulty,rpx_ds,scene_tier,scene_score,modalities_shown,source_shards,caption
images/rpx_easy_scene010_phase2.jpg,scene010.phase2,scene010,2,clean,easy,0.421333,hard,0.530692,"rgb, depth, masks",scenes/scene010/2/rgb.tar; scenes/scene010/2/depth.tar; scenes/scene010/2/labels/masks/v1.tar,"Video-layout preview still for scene010.phase2 (clean, easy, RPX-DS 0.421)."
images/rpx_easy_scene011_phase0.jpg,scene011.phase0,scene011,0,clutter,easy,0.365533,easy,0.355500,"rgb, depth, masks",scenes/scene011/0/rgb.tar; scenes/scene011/0/depth.tar; scenes/scene011/0/labels/masks/v1.tar,"Video-layout preview still for scene011.phase0 (clutter, easy, RPX-DS 0.366)."
images/rpx_easy_scene011_phase1.jpg,scene011.phase1,scene011,1,interaction,easy,0.350933,easy,0.355500,"rgb, depth, masks",scenes/scene011/1/rgb.tar; scenes/scene011/1/depth.tar; scenes/scene011/1/labels/masks/v1.tar,"Video-layout preview still for scene011.phase1 (interaction, easy, RPX-DS 0.351)."
images/rpx_easy_scene011_phase2.jpg,scene011.phase2,scene011,2,clean,easy,0.350033,easy,0.355500,"rgb, depth, masks",scenes/scene011/2/rgb.tar; scenes/scene011/2/depth.tar; scenes/scene011/2/labels/masks/v1.tar,"Video-layout preview still for scene011.phase2 (clean, easy, RPX-DS 0.350)."
images/rpx_easy_scene012_phase1.jpg,scene012.phase1,scene012,1,interaction,easy,0.286583,easy,0.422708,"rgb, depth, masks",scenes/scene012/1/rgb.tar; scenes/scene012/1/depth.tar; scenes/scene012/1/labels/masks/v1.tar,"Video-layout preview still for scene012.phase1 (interaction, easy, RPX-DS 0.287)."
images/rpx_easy_scene012_phase2.jpg,scene012.phase2,scene012,2,clean,easy,0.345783,easy,0.422708,"rgb, depth, masks",scenes/scene012/2/rgb.tar; scenes/scene012/2/depth.tar; scenes/scene012/2/labels/masks/v1.tar,"Video-layout preview still for scene012.phase2 (clean, easy, RPX-DS 0.346)."
images/rpx_easy_scene013_phase2.jpg,scene013.phase2,scene013,2,clean,easy,0.375533,easy,0.448228,"rgb, depth, masks",scenes/scene013/2/rgb.tar; scenes/scene013/2/depth.tar; scenes/scene013/2/labels/masks/v1.tar,"Video-layout preview still for scene013.phase2 (clean, easy, RPX-DS 0.376)."
images/rpx_easy_scene014_phase2.jpg,scene014.phase2,scene014,2,clean,easy,0.416883,medium,0.503586,"rgb, depth, masks",scenes/scene014/2/rgb.tar; scenes/scene014/2/depth.tar; scenes/scene014/2/labels/masks/v1.tar,"Video-layout preview still for scene014.phase2 (clean, easy, RPX-DS 0.417)."
images/rpx_easy_scene015_phase0.jpg,scene015.phase0,scene015,0,clutter,easy,0.286733,easy,0.339533,"rgb, depth, masks",scenes/scene015/0/rgb.tar; scenes/scene015/0/depth.tar; scenes/scene015/0/labels/masks/v1.tar,"Video-layout preview still for scene015.phase0 (clutter, easy, RPX-DS 0.287)."
images/rpx_easy_scene015_phase1.jpg,scene015.phase1,scene015,1,interaction,easy,0.351133,easy,0.339533,"rgb, depth, masks",scenes/scene015/1/rgb.tar; scenes/scene015/1/depth.tar; scenes/scene015/1/labels/masks/v1.tar,"Video-layout preview still for scene015.phase1 (interaction, easy, RPX-DS 0.351)."
images/rpx_easy_scene015_phase2.jpg,scene015.phase2,scene015,2,clean,easy,0.380733,easy,0.339533,"rgb, depth, masks",scenes/scene015/2/rgb.tar; scenes/scene015/2/depth.tar; scenes/scene015/2/labels/masks/v1.tar,"Video-layout preview still for scene015.phase2 (clean, easy, RPX-DS 0.381)."
images/rpx_easy_scene016_phase2.jpg,scene016.phase2,scene016,2,clean,easy,0.440233,hard,0.542942,"rgb, depth, masks",scenes/scene016/2/rgb.tar; scenes/scene016/2/depth.tar; scenes/scene016/2/labels/masks/v1.tar,"Video-layout preview still for scene016.phase2 (clean, easy, RPX-DS 0.440)."
images/rpx_easy_scene017_phase1.jpg,scene017.phase1,scene017,1,interaction,easy,0.378933,medium,0.529922,"rgb, depth, masks",scenes/scene017/1/rgb.tar; scenes/scene017/1/depth.tar; scenes/scene017/1/labels/masks/v1.tar,"Video-layout preview still for scene017.phase1 (interaction, easy, RPX-DS 0.379)."
images/rpx_easy_scene019_phase0.jpg,scene019.phase0,scene019,0,clutter,easy,0.434183,hard,0.557081,"rgb, depth, masks",scenes/scene019/0/rgb.tar; scenes/scene019/0/depth.tar; scenes/scene019/0/labels/masks/v1.tar,"Video-layout preview still for scene019.phase0 (clutter, easy, RPX-DS 0.434)."
images/rpx_easy_scene021_phase1.jpg,scene021.phase1,scene021,1,interaction,easy,0.431925,medium,0.481681,"rgb, depth, masks",scenes/scene021/1/rgb.tar; scenes/scene021/1/depth.tar; scenes/scene021/1/labels/masks/v1.tar,"Video-layout preview still for scene021.phase1 (interaction, easy, RPX-DS 0.432)."
images/rpx_easy_scene022_phase0.jpg,scene022.phase0,scene022,0,clutter,easy,0.301733,easy,0.291817,"rgb, depth, masks",scenes/scene022/0/rgb.tar; scenes/scene022/0/depth.tar; scenes/scene022/0/labels/masks/v1.tar,"Video-layout preview still for scene022.phase0 (clutter, easy, RPX-DS 0.302)."
images/rpx_easy_scene022_phase1.jpg,scene022.phase1,scene022,1,interaction,easy,0.291983,easy,0.291817,"rgb, depth, masks",scenes/scene022/1/rgb.tar; scenes/scene022/1/depth.tar; scenes/scene022/1/labels/masks/v1.tar,"Video-layout preview still for scene022.phase1 (interaction, easy, RPX-DS 0.292)."
images/rpx_easy_scene022_phase2.jpg,scene022.phase2,scene022,2,clean,easy,0.281733,easy,0.291817,"rgb, depth, masks",scenes/scene022/2/rgb.tar; scenes/scene022/2/depth.tar; scenes/scene022/2/labels/masks/v1.tar,"Video-layout preview still for scene022.phase2 (clean, easy, RPX-DS 0.282)."
images/rpx_easy_scene023_phase1.jpg,scene023.phase1,scene023,1,interaction,easy,0.359450,easy,0.421014,"rgb, depth, masks",scenes/scene023/1/rgb.tar; scenes/scene023/1/depth.tar; scenes/scene023/1/labels/masks/v1.tar,"Video-layout preview still for scene023.phase1 (interaction, easy, RPX-DS 0.359)."
images/rpx_easy_scene023_phase2.jpg,scene023.phase2,scene023,2,clean,easy,0.423408,easy,0.421014,"rgb, depth, masks",scenes/scene023/2/rgb.tar; scenes/scene023/2/depth.tar; scenes/scene023/2/labels/masks/v1.tar,"Video-layout preview still for scene023.phase2 (clean, easy, RPX-DS 0.423)."
images/rpx_easy_scene024_phase1.jpg,scene024.phase1,scene024,1,interaction,easy,0.318133,easy,0.412094,"rgb, depth, masks",scenes/scene024/1/rgb.tar; scenes/scene024/1/depth.tar; scenes/scene024/1/labels/masks/v1.tar,"Video-layout preview still for scene024.phase1 (interaction, easy, RPX-DS 0.318)."
images/rpx_easy_scene025_phase1.jpg,scene025.phase1,scene025,1,interaction,easy,0.428242,medium,0.466844,"rgb, depth, masks",scenes/scene025/1/rgb.tar; scenes/scene025/1/depth.tar; scenes/scene025/1/labels/masks/v1.tar,"Video-layout preview still for scene025.phase1 (interaction, easy, RPX-DS 0.428)."
images/rpx_easy_scene025_phase2.jpg,scene025.phase2,scene025,2,clean,easy,0.443317,medium,0.466844,"rgb, depth, masks",scenes/scene025/2/rgb.tar; scenes/scene025/2/depth.tar; scenes/scene025/2/labels/masks/v1.tar,"Video-layout preview still for scene025.phase2 (clean, easy, RPX-DS 0.443)."
images/rpx_easy_scene026_phase1.jpg,scene026.phase1,scene026,1,interaction,easy,0.367933,easy,0.456700,"rgb, depth, masks",scenes/scene026/1/rgb.tar; scenes/scene026/1/depth.tar; scenes/scene026/1/labels/masks/v1.tar,"Video-layout preview still for scene026.phase1 (interaction, easy, RPX-DS 0.368)."
images/rpx_easy_scene027_phase1.jpg,scene027.phase1,scene027,1,interaction,easy,0.394333,hard,0.544003,"rgb, depth, masks",scenes/scene027/1/rgb.tar; scenes/scene027/1/depth.tar; scenes/scene027/1/labels/masks/v1.tar,"Video-layout preview still for scene027.phase1 (interaction, easy, RPX-DS 0.394)."
