scene_phase,scene_id,phase_index,phase_name,difficulty,rpx_ds,scene_tier,scene_score,image_preview_url,source_rgb_shard,source_depth_shard,source_mask_shard,caption
scene010.phase2,scene010,2,clean,easy,0.421333,hard,0.530692,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene010_phase2.jpg,scenes/scene010/2/rgb.tar,scenes/scene010/2/depth.tar,scenes/scene010/2/labels/masks/v1.tar,"Video-layout preview still for scene010.phase2 (clean, easy, RPX-DS 0.421)."
scene011.phase0,scene011,0,clutter,easy,0.365533,easy,0.355500,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene011_phase0.jpg,scenes/scene011/0/rgb.tar,scenes/scene011/0/depth.tar,scenes/scene011/0/labels/masks/v1.tar,"Video-layout preview still for scene011.phase0 (clutter, easy, RPX-DS 0.366)."
scene011.phase1,scene011,1,interaction,easy,0.350933,easy,0.355500,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene011_phase1.jpg,scenes/scene011/1/rgb.tar,scenes/scene011/1/depth.tar,scenes/scene011/1/labels/masks/v1.tar,"Video-layout preview still for scene011.phase1 (interaction, easy, RPX-DS 0.351)."
scene011.phase2,scene011,2,clean,easy,0.350033,easy,0.355500,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene011_phase2.jpg,scenes/scene011/2/rgb.tar,scenes/scene011/2/depth.tar,scenes/scene011/2/labels/masks/v1.tar,"Video-layout preview still for scene011.phase2 (clean, easy, RPX-DS 0.350)."
scene012.phase1,scene012,1,interaction,easy,0.286583,easy,0.422708,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene012_phase1.jpg,scenes/scene012/1/rgb.tar,scenes/scene012/1/depth.tar,scenes/scene012/1/labels/masks/v1.tar,"Video-layout preview still for scene012.phase1 (interaction, easy, RPX-DS 0.287)."
scene012.phase2,scene012,2,clean,easy,0.345783,easy,0.422708,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene012_phase2.jpg,scenes/scene012/2/rgb.tar,scenes/scene012/2/depth.tar,scenes/scene012/2/labels/masks/v1.tar,"Video-layout preview still for scene012.phase2 (clean, easy, RPX-DS 0.346)."
scene013.phase2,scene013,2,clean,easy,0.375533,easy,0.448228,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene013_phase2.jpg,scenes/scene013/2/rgb.tar,scenes/scene013/2/depth.tar,scenes/scene013/2/labels/masks/v1.tar,"Video-layout preview still for scene013.phase2 (clean, easy, RPX-DS 0.376)."
scene014.phase2,scene014,2,clean,easy,0.416883,medium,0.503586,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene014_phase2.jpg,scenes/scene014/2/rgb.tar,scenes/scene014/2/depth.tar,scenes/scene014/2/labels/masks/v1.tar,"Video-layout preview still for scene014.phase2 (clean, easy, RPX-DS 0.417)."
scene015.phase0,scene015,0,clutter,easy,0.286733,easy,0.339533,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene015_phase0.jpg,scenes/scene015/0/rgb.tar,scenes/scene015/0/depth.tar,scenes/scene015/0/labels/masks/v1.tar,"Video-layout preview still for scene015.phase0 (clutter, easy, RPX-DS 0.287)."
scene015.phase1,scene015,1,interaction,easy,0.351133,easy,0.339533,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene015_phase1.jpg,scenes/scene015/1/rgb.tar,scenes/scene015/1/depth.tar,scenes/scene015/1/labels/masks/v1.tar,"Video-layout preview still for scene015.phase1 (interaction, easy, RPX-DS 0.351)."
scene015.phase2,scene015,2,clean,easy,0.380733,easy,0.339533,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene015_phase2.jpg,scenes/scene015/2/rgb.tar,scenes/scene015/2/depth.tar,scenes/scene015/2/labels/masks/v1.tar,"Video-layout preview still for scene015.phase2 (clean, easy, RPX-DS 0.381)."
scene016.phase2,scene016,2,clean,easy,0.440233,hard,0.542942,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene016_phase2.jpg,scenes/scene016/2/rgb.tar,scenes/scene016/2/depth.tar,scenes/scene016/2/labels/masks/v1.tar,"Video-layout preview still for scene016.phase2 (clean, easy, RPX-DS 0.440)."
scene017.phase1,scene017,1,interaction,easy,0.378933,medium,0.529922,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene017_phase1.jpg,scenes/scene017/1/rgb.tar,scenes/scene017/1/depth.tar,scenes/scene017/1/labels/masks/v1.tar,"Video-layout preview still for scene017.phase1 (interaction, easy, RPX-DS 0.379)."
scene019.phase0,scene019,0,clutter,easy,0.434183,hard,0.557081,https://huggingface.co/datasets/IRVLUTD/RPX/resolve/main/preview/image_examples/preview/images/rpx_easy_scene019_phase0.jpg,scenes/scene019/0/rgb.tar,scenes/scene019/0/depth.tar,scenes/scene019/0/labels/masks/v1.tar,"Video-layout preview still for scene019.phase0 (clutter, easy, RPX-DS 0.434)."
