scene_phase,scene_id,phase_index,phase_name,difficulty,rpx_ds,scene_tier,scene_score
scene010.phase2,scene010,2,clean,easy,0.421333,hard,0.530692
scene011.phase0,scene011,0,clutter,easy,0.365533,easy,0.355500
scene011.phase1,scene011,1,interaction,easy,0.350933,easy,0.355500
scene011.phase2,scene011,2,clean,easy,0.350033,easy,0.355500
scene012.phase1,scene012,1,interaction,easy,0.286583,easy,0.422708
scene012.phase2,scene012,2,clean,easy,0.345783,easy,0.422708
scene013.phase2,scene013,2,clean,easy,0.375533,easy,0.448228
scene014.phase2,scene014,2,clean,easy,0.416883,medium,0.503586
scene015.phase0,scene015,0,clutter,easy,0.286733,easy,0.339533
scene015.phase1,scene015,1,interaction,easy,0.351133,easy,0.339533
scene015.phase2,scene015,2,clean,easy,0.380733,easy,0.339533
scene016.phase2,scene016,2,clean,easy,0.440233,hard,0.542942
scene017.phase1,scene017,1,interaction,easy,0.378933,medium,0.529922
scene019.phase0,scene019,0,clutter,easy,0.434183,hard,0.557081
scene021.phase1,scene021,1,interaction,easy,0.431925,medium,0.481681
scene022.phase0,scene022,0,clutter,easy,0.301733,easy,0.291817
scene022.phase1,scene022,1,interaction,easy,0.291983,easy,0.291817
scene022.phase2,scene022,2,clean,easy,0.281733,easy,0.291817
scene023.phase1,scene023,1,interaction,easy,0.359450,easy,0.421014
scene023.phase2,scene023,2,clean,easy,0.423408,easy,0.421014
scene024.phase1,scene024,1,interaction,easy,0.318133,easy,0.412094
scene025.phase1,scene025,1,interaction,easy,0.428242,medium,0.466844
scene025.phase2,scene025,2,clean,easy,0.443317,medium,0.466844
scene026.phase1,scene026,1,interaction,easy,0.367933,easy,0.456700
scene027.phase1,scene027,1,interaction,easy,0.394333,hard,0.544003
scene028.phase1,scene028,1,interaction,easy,0.382133,medium,0.500117
scene029.phase0,scene029,0,clutter,easy,0.435033,easy,0.413000
scene029.phase1,scene029,1,interaction,easy,0.339533,easy,0.413000
scene030.phase1,scene030,1,interaction,easy,0.356233,easy,0.432950
scene031.phase0,scene031,0,clutter,easy,0.400333,easy,0.363217
scene031.phase1,scene031,1,interaction,easy,0.332283,easy,0.363217
scene031.phase2,scene031,2,clean,easy,0.357033,easy,0.363217
scene032.phase0,scene032,0,clutter,easy,0.363383,easy,0.382250
scene032.phase1,scene032,1,interaction,easy,0.423733,easy,0.382250
scene032.phase2,scene032,2,clean,easy,0.359633,easy,0.382250
scene034.phase0,scene034,0,clutter,easy,0.437067,easy,0.431028
scene034.phase1,scene034,1,interaction,easy,0.335633,easy,0.431028
scene035.phase1,scene035,1,interaction,easy,0.387975,easy,0.414164
scene035.phase2,scene035,2,clean,easy,0.339733,easy,0.414164
scene036.phase0,scene036,0,clutter,easy,0.427183,medium,0.492242
scene036.phase1,scene036,1,interaction,easy,0.423883,medium,0.492242
scene037.phase1,scene037,1,interaction,easy,0.379133,easy,0.448586
scene037.phase2,scene037,2,clean,easy,0.429333,easy,0.448586
scene038.phase0,scene038,0,clutter,easy,0.416433,easy,0.453461
scene038.phase1,scene038,1,interaction,easy,0.379833,easy,0.453461
scene004.phase0,scene004,0,clutter,easy,0.433933,easy,0.459281
scene004.phase2,scene004,2,clean,easy,0.392333,easy,0.459281
scene047.phase2,scene047,2,clean,easy,0.407633,medium,0.503744
scene048.phase2,scene048,2,clean,easy,0.408533,medium,0.496181
scene051.phase0,scene051,0,clutter,easy,0.403100,easy,0.426236
scene051.phase1,scene051,1,interaction,easy,0.433675,easy,0.426236
scene051.phase2,scene051,2,clean,easy,0.441933,easy,0.426236
scene053.phase0,scene053,0,clutter,easy,0.377983,easy,0.421325
scene053.phase2,scene053,2,clean,easy,0.410733,easy,0.421325
scene054.phase0,scene054,0,clutter,easy,0.405267,easy,0.407875
scene054.phase2,scene054,2,clean,easy,0.349233,easy,0.407875
scene055.phase0,scene055,0,clutter,easy,0.358183,easy,0.403175
scene055.phase1,scene055,1,interaction,easy,0.426633,easy,0.403175
scene055.phase2,scene055,2,clean,easy,0.424708,easy,0.403175
scene056.phase1,scene056,1,interaction,easy,0.357083,medium,0.474803
scene057.phase0,scene057,0,clutter,easy,0.425167,easy,0.414489
scene057.phase1,scene057,1,interaction,easy,0.420167,easy,0.414489
scene057.phase2,scene057,2,clean,easy,0.398133,easy,0.414489
scene058.phase2,scene058,2,clean,easy,0.415233,medium,0.509889
scene059.phase0,scene059,0,clutter,easy,0.395333,easy,0.427314
scene059.phase2,scene059,2,clean,easy,0.422133,easy,0.427314
scene006.phase1,scene006,1,interaction,easy,0.415050,medium,0.489561
scene060.phase0,scene060,0,clutter,easy,0.405633,easy,0.418358
scene060.phase2,scene060,2,clean,easy,0.383633,easy,0.418358
scene066.phase0,scene066,0,clutter,easy,0.432083,easy,0.431617
scene066.phase1,scene066,1,interaction,easy,0.397733,easy,0.431617
scene068.phase0,scene068,0,clutter,easy,0.392533,easy,0.424100
scene068.phase2,scene068,2,clean,easy,0.436133,easy,0.424100
scene069.phase0,scene069,0,clutter,easy,0.415983,medium,0.465783
scene069.phase1,scene069,1,interaction,easy,0.422533,medium,0.465783
scene070.phase0,scene070,0,clutter,easy,0.413383,medium,0.512422
scene071.phase0,scene071,0,clutter,easy,0.438075,easy,0.383097
scene071.phase1,scene071,1,interaction,easy,0.381383,easy,0.383097
scene071.phase2,scene071,2,clean,easy,0.329833,easy,0.383097
scene072.phase0,scene072,0,clutter,easy,0.415583,medium,0.481444
scene073.phase2,scene073,2,clean,easy,0.430817,easy,0.460828
scene075.phase0,scene075,0,clutter,easy,0.324933,easy,0.368833
scene075.phase1,scene075,1,interaction,easy,0.372833,easy,0.368833
scene075.phase2,scene075,2,clean,easy,0.408733,easy,0.368833
scene077.phase2,scene077,2,clean,easy,0.426033,medium,0.461872
scene008.phase1,scene008,1,interaction,easy,0.331933,easy,0.432639
scene008.phase2,scene008,2,clean,easy,0.426333,easy,0.432639
scene086.phase2,scene086,2,clean,easy,0.383733,medium,0.500372
scene009.phase2,scene009,2,clean,easy,0.431533,medium,0.529517
scene090.phase1,scene090,1,interaction,easy,0.432183,medium,0.464608
scene090.phase2,scene090,2,clean,easy,0.409433,medium,0.464608
scene091.phase1,scene091,1,interaction,easy,0.372442,medium,0.513653
scene092.phase0,scene092,0,clutter,easy,0.406483,easy,0.406911
scene092.phase1,scene092,1,interaction,easy,0.355017,easy,0.406911
scene093.phase0,scene093,0,clutter,easy,0.414733,easy,0.419153
scene093.phase1,scene093,1,interaction,easy,0.418192,easy,0.419153
scene093.phase2,scene093,2,clean,easy,0.424533,easy,0.419153
scene094.phase1,scene094,1,interaction,easy,0.278883,easy,0.450914
scene095.phase1,scene095,1,interaction,easy,0.438308,hard,0.536622
scene097.phase2,scene097,2,clean,easy,0.415133,medium,0.485528
