scene_phase,scene_id,phase_index,phase_name,difficulty,rpx_ds,scene_tier,scene_score
scene001.phase0,scene001,0,clutter,hard,0.678108,hard,0.631903
scene001.phase1,scene001,1,interaction,hard,0.625650,hard,0.631903
scene001.phase2,scene001,2,clean,hard,0.591950,hard,0.631903
scene010.phase0,scene010,0,clutter,hard,0.594442,hard,0.530692
scene010.phase1,scene010,1,interaction,hard,0.576300,hard,0.530692
scene012.phase0,scene012,0,clutter,hard,0.635758,easy,0.422708
scene014.phase0,scene014,0,clutter,hard,0.601375,medium,0.503586
scene016.phase0,scene016,0,clutter,hard,0.595858,hard,0.542942
scene016.phase1,scene016,1,interaction,hard,0.592733,hard,0.542942
scene017.phase0,scene017,0,clutter,hard,0.599033,medium,0.529922
scene017.phase2,scene017,2,clean,hard,0.611800,medium,0.529922
scene018.phase0,scene018,0,clutter,hard,0.584900,hard,0.626331
scene018.phase1,scene018,1,interaction,hard,0.639817,hard,0.626331
scene018.phase2,scene018,2,clean,hard,0.654275,hard,0.626331
scene019.phase1,scene019,1,interaction,hard,0.589583,hard,0.557081
scene019.phase2,scene019,2,clean,hard,0.647475,hard,0.557081
scene002.phase0,scene002,0,clutter,hard,0.658608,hard,0.627503
scene002.phase1,scene002,1,interaction,hard,0.637683,hard,0.627503
scene002.phase2,scene002,2,clean,hard,0.586217,hard,0.627503
scene020.phase0,scene020,0,clutter,hard,0.619167,hard,0.643528
scene020.phase1,scene020,1,interaction,hard,0.635800,hard,0.643528
scene020.phase2,scene020,2,clean,hard,0.675617,hard,0.643528
scene027.phase0,scene027,0,clutter,hard,0.642783,hard,0.544003
scene027.phase2,scene027,2,clean,hard,0.594892,hard,0.544003
scene028.phase0,scene028,0,clutter,hard,0.563925,medium,0.500117
scene003.phase1,scene003,1,interaction,hard,0.589783,hard,0.570047
scene003.phase2,scene003,2,clean,hard,0.568792,hard,0.570047
scene033.phase0,scene033,0,clutter,hard,0.582183,hard,0.544544
scene036.phase2,scene036,2,clean,hard,0.625658,medium,0.492242
scene038.phase2,scene038,2,clean,hard,0.564117,easy,0.453461
scene039.phase0,scene039,0,clutter,hard,0.609450,hard,0.570672
scene039.phase2,scene039,2,clean,hard,0.605633,hard,0.570672
scene040.phase0,scene040,0,clutter,hard,0.605317,hard,0.589969
scene040.phase1,scene040,1,interaction,hard,0.559425,hard,0.589969
scene040.phase2,scene040,2,clean,hard,0.605167,hard,0.589969
scene041.phase0,scene041,0,clutter,hard,0.624700,hard,0.555911
scene041.phase1,scene041,1,interaction,hard,0.563100,hard,0.555911
scene042.phase0,scene042,0,clutter,hard,0.593917,hard,0.637047
scene042.phase1,scene042,1,interaction,hard,0.643908,hard,0.637047
scene042.phase2,scene042,2,clean,hard,0.673317,hard,0.637047
scene043.phase0,scene043,0,clutter,hard,0.634717,hard,0.619222
scene043.phase2,scene043,2,clean,hard,0.670583,hard,0.619222
scene044.phase2,scene044,2,clean,hard,0.568125,hard,0.534836
scene045.phase0,scene045,0,clutter,hard,0.612317,hard,0.618425
scene045.phase1,scene045,1,interaction,hard,0.618492,hard,0.618425
scene045.phase2,scene045,2,clean,hard,0.624467,hard,0.618425
scene046.phase1,scene046,1,interaction,hard,0.595050,hard,0.560789
scene047.phase0,scene047,0,clutter,hard,0.649875,medium,0.503744
scene049.phase2,scene049,2,clean,hard,0.594367,hard,0.562342
scene005.phase0,scene005,0,clutter,hard,0.634733,hard,0.602300
scene005.phase1,scene005,1,interaction,hard,0.607667,hard,0.602300
scene005.phase2,scene005,2,clean,hard,0.564500,hard,0.602300
scene058.phase0,scene058,0,clutter,hard,0.573333,medium,0.509889
scene061.phase0,scene061,0,clutter,hard,0.653167,hard,0.665508
scene061.phase1,scene061,1,interaction,hard,0.699042,hard,0.665508
