scene_phase,scene_id,phase_index,phase_name,difficulty,rpx_ds,scene_tier,scene_score
scene100.phase0,scene100,0,clutter,medium,0.501967,medium,0.523358
scene100.phase1,scene100,1,interaction,medium,0.529750,medium,0.523358
scene100.phase2,scene100,2,clean,medium,0.538358,medium,0.523358
scene013.phase0,scene013,0,clutter,medium,0.496267,easy,0.448228
scene013.phase1,scene013,1,interaction,medium,0.472883,easy,0.448228
scene014.phase1,scene014,1,interaction,medium,0.492500,medium,0.503586
scene021.phase0,scene021,0,clutter,medium,0.552733,medium,0.481681
scene021.phase2,scene021,2,clean,medium,0.460383,medium,0.481681
scene023.phase0,scene023,0,clutter,medium,0.480183,easy,0.421014
scene024.phase0,scene024,0,clutter,medium,0.465900,easy,0.412094
scene024.phase2,scene024,2,clean,medium,0.452250,easy,0.412094
scene025.phase0,scene025,0,clutter,medium,0.528975,medium,0.466844
scene026.phase0,scene026,0,clutter,medium,0.508733,easy,0.456700
scene026.phase2,scene026,2,clean,medium,0.493433,easy,0.456700
scene028.phase2,scene028,2,clean,medium,0.554292,medium,0.500117
scene029.phase2,scene029,2,clean,medium,0.464433,easy,0.413000
scene003.phase0,scene003,0,clutter,medium,0.551567,hard,0.570047
scene030.phase0,scene030,0,clutter,medium,0.462183,easy,0.432950
scene030.phase2,scene030,2,clean,medium,0.480433,easy,0.432950
scene033.phase1,scene033,1,interaction,medium,0.498625,hard,0.544544
scene033.phase2,scene033,2,clean,medium,0.552825,hard,0.544544
scene034.phase2,scene034,2,clean,medium,0.520383,easy,0.431028
scene035.phase0,scene035,0,clutter,medium,0.514783,easy,0.414164
scene037.phase0,scene037,0,clutter,medium,0.537292,easy,0.448586
scene039.phase1,scene039,1,interaction,medium,0.496933,hard,0.570672
scene004.phase1,scene004,1,interaction,medium,0.551575,easy,0.459281
scene041.phase2,scene041,2,clean,medium,0.479933,hard,0.555911
scene043.phase1,scene043,1,interaction,medium,0.552367,hard,0.619222
scene044.phase0,scene044,0,clutter,medium,0.483983,hard,0.534836
scene044.phase1,scene044,1,interaction,medium,0.552400,hard,0.534836
scene046.phase0,scene046,0,clutter,medium,0.545000,hard,0.560789
scene046.phase2,scene046,2,clean,medium,0.542317,hard,0.560789
scene047.phase1,scene047,1,interaction,medium,0.453725,medium,0.503744
scene048.phase0,scene048,0,clutter,medium,0.524575,medium,0.496181
scene048.phase1,scene048,1,interaction,medium,0.555433,medium,0.496181
